下第春愁甚 行心道肯难 |Ref:劳君远见招
高帆背楚落 远棹入湘平 |Ref:寒日逆淮曛
外人欲压长生籍 归入初云月月花 |Ref:拜请飞琼报玉皇
含音俨容 入调中响 |Ref:绝粒遗影
岂令群荒外 白日下阴中 |Ref:尚有辜帝恩
三皇皇后七贵人 江月相侯万栖穿 |Ref:五十校尉二将军
都尉仙凫远 犹将客鸟深 |Ref:梁王驷马来
京洛云山外 苍河烟水稀 |Ref:音书静不来
画角悲海月 征衣动天霜 |Ref:征衣卷天霜
纵得步兵无绿蚁 何身何得亦同安 |Ref:不缘句漏有丹砂
桥南荀令过 石北燕应处 |Ref:十里送衣香
都缘用久锋头尽 半日行如泪上禅 |Ref:不得羲之手里擎
九派迢迢九月残 庭阳复近一回寒 |Ref:舟人相语且相宽
朝廷未无事 时用闻云道 |Ref:争任醉醺醺
惠爱南翁悦 多灵志我逢 |Ref:馀波及老身
树影捎云密 禅光上草深 |Ref:藤阴覆水低
皇天未启升平运 得负惟通不不能 |Ref:不使伊皋相禹汤
勿顾林亭晚 山有坐钟深 |Ref:方欢云雾披
天兵四罗 风将三牛 |Ref:旂常婀娜
后路起夜色 轻年朝时息 |Ref:前山闻虎声
何许最关人 乌歌白门柳 |Ref:乌啼白门柳
松际风长在 山来日自闲 |Ref:泉中草不衰
薄溜漫青石 孤云度日烟 |Ref:横云架碧林
登高凌宝塔 得极映金经 |Ref:极目遍王城
室随亲客入 家对人人看 |Ref:席许旧寮陪
讵是秋风里 徒劳感日时 |Ref:犹如晓露前
阔堑防斜径 深枝是寒烟 |Ref:平堤夹小渠
昆仑凝想最高峰 久久入升苍霜绿 |Ref:王母来乘五色龙
征骖临野次 春吹向云东 |Ref:别袂惨江垂
别燕殷勤语 黄莺只人雨 |Ref:残蝉仿佛鸣
羌父豪猪靴 贤郎犹信兴 |Ref:羌儿青兕裘
挥妙在微密 清能闻旋知 |Ref:全功知感诚
朝阳凤安在 暮听龙不同 |Ref:日暮蝉独悲
天喜时相合 人如处未开 |Ref:人和事不违
王事牵身去不得 帝心应与滞无开 |Ref:满山松雪属他人
黄河东注无时歇 终日无观人处来 |Ref:注尽波澜名不灭
但有子孙在 青我道不间 |Ref:带经还荷锄
闲卧襟情远 清吟棹翠低 |Ref:西风菊渐芳
花明月暗笼轻雾 荡锦风明飞杀人 |Ref:今宵好向郎边去
二室遥相望 五君如得心 |Ref:云回洞里天
几府争驰毛义檄 一乡看侍老莱衣 |Ref:一乡看侍老莱衣
肃肃举鸿毛 肃化豪所年 |Ref:冷然顺风吹
蒨璨玉琳华 飘声在水镜 |Ref:翱翔九真君
莫辞重卜日 多见远秋风 |Ref:后会必经秋
合调歌杨柳 翻君舞舞归 |Ref:齐声踏采莲
道上千里风 山中无云雪 |Ref:野竹蛇涎痕
共居云阳里 同去雪在生 |Ref:轗轲多别离
西北诸峰连朔漠 北山飞水入汉城 |Ref:东南众水合昆仑
秋归旧窗竹 春绕半庭苔 |Ref:永夜一凄寂
主人莫怪殷勤看 天月应闻有第都 |Ref:远客长怀旧隐情
学徒花下别 无有鬓东孤 |Ref:乡路雪边寻
可怜光采一片玉 万破胡人千秋死 |Ref:万里晴天何处来
野猿疑弄客 山鸟似衣迟 |Ref:山鸟似呼人
琼章定少千人和 银树先芳六出花 |Ref:银树长芳六出花
诏旂分夏物 庭服远江沙 |Ref:专土锡唐弓
但见新人笑 何闻旧客闲 |Ref:那闻旧人哭
孔雀钿寒窥沼见 金羊开冷双楼楼 |Ref:石榴红重堕阶闻
听讼不闻乌布帐 望君惟为鹤为钩 |Ref:迎宾暂著紫绨裘
年少得途未要忙 春闲自客初头鱼 |Ref:时清谏疏尤宜罕
道从上国曾匡济 水吹阴天水水流 |Ref:才向牢盆始重难
天使来栽宫里树 然花复著子边秩 |Ref:罗衣自买院前溪
况复逢青草 终然在白时 |Ref:何妨问此心
终将此形陋 真耕太同发 |Ref:归死故丘林
接影横空背雪飞 唯声壁面孤云傍 |Ref:声声寒出玉关迟
何事贶君偏得所 老机长荡各三尺 |Ref:只缘同是越航郎
辛夷始花亦已落 岂曲岂后寒言香 |Ref:况我与子非壮年
三亩丹田无种种 一毛黄是出荒林 |Ref:种时须藉赤龙耕
白日屋檐下 青风山<unk>吟 |Ref:双鸣斗鸺鶹
穷通与远近 此日山山齐 |Ref:一贯无两端
阊阖九天通奏籍 剑朝高海席兴灵 |Ref:华亭一鹤在朝行
住此园林久 来知一一频 |Ref:其如未是家
拙宦今何有 穷闲更在林 |Ref:劳歌念不成
老松临死不生枝 持石养生如满月 |Ref:东野先生早哭儿
夷师本学外 人业逢君荣 |Ref:仍善唐文字
牛困人饥日已高 凤闲身马花初斗 |Ref:市南门外泥中歇
暮雨凋残寺 寒泉落落山 |Ref:秋风怅望人
暂来戎马地 不敢远人诗 |Ref:不敢苦吟诗
信马腾腾触处行 他人何忆为先航 |Ref:春风相引与诗情
又作淮南客 迢歌江路人 |Ref:还悲木叶声
琴鸣酒乐两相得 一杯不啻千钧金 |Ref:一杯不啻千钧金
知君皆逸韵 几里多长词 |Ref:须为应莛撞
莹澈通三岛 明明出水空 |Ref:岩梧积万层
一室凿崔嵬 幽然流地回 |Ref:危梯叠藓苔
艳艳锦不如 倾人亦可迹 |Ref:夭夭桃未可
长门闭定不求生 黄树垂开岂爱黄 |Ref:烧却头花卸却筝
请告严程尽 牵疆远事高 |Ref:西归道路寒
正下搜贤诏 何持是此行 |Ref:多君独避名
悲啼上车女 日去不相归 |Ref:骨肉不可分
野风吹白芷 幽迹著清桑 |Ref:山月摇清轸
风日咸阳惨 云空关北垂 |Ref:笳箫渭水寒
面山如对画 日计似然城 |Ref:临水坐流觞
龙门乍出难胜幸 海苑长下有著时 |Ref:鸳侣先行是最荣
身稳心安眠未起 雪天儿外呼来来 |Ref:西京朝士得知无
远漏微更疏 薄衾静夜凉 |Ref:薄衾中夜凉
惆怅却愁明日别 金花到泪洞年思 |Ref:马嘶山店雨濛濛
半月分弦出 三山有酒期 |Ref:丛花拂面安
紫汉秦楼敞 高山客马衣 |Ref:黄山鲁馆开
往往虽相见 同时不有同 |Ref:飘飘愧此身
自尔出门去 见君门上归 |Ref:泪痕长满衣
万户千门成野草 归家一去到江林 |Ref:只缘一曲后庭花
生物咸遂 天怀可同 |Ref:群盗灭息
宿云低迥盖 寒雨动长峰 |Ref:残月上虚轮
喻士逢明主 成存逞故川 |Ref:才猷得所施
虹开玉照 凤引金声 |Ref:凤引金声
不复归溪中 百作更水回 |Ref:还作溪中雨
书幌飘全湿 天楼落锦思 |Ref:茶铛入旋融
日暖风微南陌头 闻明雨习春楼尘 |Ref:青田红树起春愁
君非仲举才 大异安扬室 |Ref:谁是题舆者
饱食房里侧 人怀意下成 |Ref:家粪集野螂
别来如昨日 归鬓似今飞 |Ref:每见缺蟾兔
桂水通百越 浮归接九泉 |Ref:扁舟期晓发
墨妙无前 山爱成起 |Ref:性生笔先
汴河东泻路穷兹 征征楚生时逸期 |Ref:洛阳西顾日增悲
良时荷泽皆迎胜 尽处人芳复在襟 |Ref:穷谷晞阳犹未春
林间暖酒烧红叶 日下寒书已碧辉 |Ref:石上题诗扫绿苔
前后徒言隔 何同不载别 |Ref:相悲讵几晨
不如来饮酒 稳卧醉陶醺 |Ref:相对醉厌厌
笑言虽不接 无意不复吹 |Ref:情状似相亲
月皎昭阳殿 笳来扬草人 |Ref:霜清长信宫
鹤往笼犹挂 莺清起未归 |Ref:龙飞剑已空
学道全真在此生 碧衣千成成到时 |Ref:何须待死更求生
坐惜离居晚 交高思别生 |Ref:相思绿蕙秋
对酒惟思月 留衣不不山 |Ref:餐松不厌山
文波浮镂槛 海叶散开还 |Ref:摛景焕雕楹
诫满澄欹器 吾树天叶彩 |Ref:成功别大垆
不惮征路遥 旬思将日如 |Ref:定缘宾礼重
腕头花落舞制裂 云底石发尘吟鸣 |Ref:手下鸟惊飞拨剌
万里八九月 一身望北风 |Ref:一身西北风
淮南望江南 相是此江发 |Ref:千里碧山对
飘飘方寓目 回此又为君 |Ref:想像见深意
方知戏马会 终有故人亲 |Ref:永谢登龙宾
乐事殊未央 恩心不歌言 |Ref:年华已云晚
驻辇华林侧 披楼步漏绝 |Ref:高宴柏梁前
几日旌幢延骏马 到时冰玉动华堂 |Ref:到时冰玉动华堂
随风柳絮轻 行日如花去 |Ref:映日杏花明
美誉早闻喧北阙 贵人迟入罢南迎 |Ref:颓波今见走东瀛
淡交终不破 老伴不如旋 |Ref:孤达晚相宜
鹏翼已翻君好去 黄头须出意情情 |Ref:乌头未变我何如
何时得向溪头赏 不羡吟云竹下琴 |Ref:旋摘菱花旋泛舟
滥陪终宴赏 何忆忆春期 |Ref:握管类窥天
有卉秘神仙 丹然直竹游 |Ref:君臣有礼焉
花开堪折直须折 不待无人争不枝 |Ref:莫待无花空折枝
黄婆丁老助威灵 得遮如如在一书 |Ref:撼动乾坤走神鬼
天文同丽日 江武是清辰 |Ref:驻景惜行杯
星郎雅是道中侣 世子陶为何外多 |Ref:六艺拘牵在隗台
浮世浮华一断空 轻殿流落向山风 |Ref:偶抛烦恼到莲宫
再来物景还依旧 宝腹风天自入秋 |Ref:风冷松高猿狖吟
欲俟千箱庆 无以一发行 |Ref:须资六出妍
古观秋木秀 临临夜不成 |Ref:冷然属鲜飙
乌衣巷在何人住 白露池多日日生 |Ref:回首令人忆谢家
有飶嘉豆 中为芳横 |Ref:既和大羹
昔时燕王重贤士 玉画台台双隗死 |Ref:黄金筑台从隗始
狐鸣枭噪争署置 犬久轻狸见天风 |Ref:睗睒跳踉相妩媚
多沽新丰醁 二十似及残 |Ref:满载剡溪船
石门日色异 山路日光轻 |Ref:绛气横扶疏
为我衔素书 冥我为丹酒 |Ref:吊彼颜与原
一朝吾道泰 不里知风论 |Ref:还逐落潮归
求之时代不可知 愿之幽人有有岁 |Ref:千痕万穴如星离
长波东接海 出海西无茫 |Ref:万里至扬州
时倾一杯酒 闲有一皇天 |Ref:旷望湖天夕
花开愁北渚 云落忆人来 |Ref:云去渡南湘
泊舟古城下 难见寒沾归 |Ref:高阁快登眺
一朝福报尽 但忆人书伤 |Ref:犹若栖芦鸟
积雪未开移发日 有剑已足属人人 |Ref:鸣蝉初急说来程
所愿死乡里 当为生相取 |Ref:到日不愿生
国以斯文重 家因竟不新 |Ref:公仍内署来
况逢旧亲识 从问独见操 |Ref:无不比鹣蟩
九衢终日见南山 千里望云汉天出 |Ref:名利何人肯掩关
子规夜夜啼槠叶 柯芳松彩焚庭月 |Ref:远道逢春半是愁
病心汤沃寒灰活 欲过方方老得寒 |Ref:老面花生朽木春
常称挂冠吏 不为在相同 |Ref:昨日归沧洲
去国空回首 归天不不愁 |Ref:怀贤欲诉冤
百足虽捷捷 回海玉云<unk> |Ref:商羊亦翘翘
共许陈琳工奏记 知君名宦未蹉跎 |Ref:知君名行未蹉跎
沧溟用谦德 金国生明明 |Ref:百谷走童稚
寂尔方丈内 遥来无阴阴 |Ref:莹然虚白间
山远去难穷 天深过不极 |Ref:琴悲多断续
德遂天下宗 礼符山海宫 |Ref:官为幕中客
两处龟巢清露里 马花燕语白山山 |Ref:一时鱼跃翠茎东
风霜清吏事 好到拜居朝 |Ref:江海谕君恩
荣盛几何流落久 喜多何我同诗诗 |Ref:遣人襟抱薄浮生
此日念前事 几年生年生 |Ref:沧洲情更亲
未得寄征人 一中复旅故 |Ref:愁霜复愁露
那堪报恩去 回别别乡行 |Ref:感激对衰兰
八月平时花萼楼 争生子子黄人飞 |Ref:万方同乐奏千秋
从今莫厌簪裾累 从我三十过帝庐 |Ref:不是乘轺不得来
二妃怨处云沉沉 二妃哭处湘水深 |Ref:二妃哭处湘水深
迎箧已焚香 花山开闻石 |Ref:近鞘先泽手
行路艰难不复歌 故人荣达我蹉跎 |Ref:故人荣达我蹉跎
柳暗山犬吠 松火夏火孤 |Ref:蒲荒水禽立
李家哭泣元家病 宣国方吟后人长 |Ref:柿叶红时独自来
楚客西来过旧居 空青沙外有长疏 |Ref:读碑寻传见终初
常隳腐儒操 谬习经邦画 |Ref:谬习经邦画
愁人到此劳长望 倚药清花一草风 |Ref:何处烟波是祖州
王嘉迎安 羽好何闲 |Ref:远狎遗民
暮烽玄菟急 山云白骝肥 |Ref:秋草紫骝肥
偶有功名正俗才 几来文事避英士 |Ref:灵禽何事降瑶台
艳女皆妒色 莲人不对春 |Ref:静女独检踪
嗟嗟山海客 敢弃复戎心 |Ref:全独竟何辞
秦山忽破碎 孤出空花开 |Ref:泾渭不可求
殷勤夏口阮元瑜 上上翩翩秉紫海 |Ref:二十年前旧饮徒
花雨晴天落 松风夜地同 |Ref:松风终日来
凤阙邻金地 龙门想玉园 |Ref:龙旂拂宝台
花边妓引寻香径 劝谢君开竹竹楼 |Ref:月下僧留宿剑池
御沟大道多奇赏 入叶秋花不昔昔 |Ref:侠客妖容递来往
塔明春岭雪 行白见溪风 |Ref:钟散暮松烟
实怪赏不足 颇为人无偏 |Ref:异鲜悦多丛
可怜俱老大 为见共回烟 |Ref:无处用闲钱
闻道君牙帐 初怜锦羽衣 |Ref:防秋近赤霄
放情任所尚 爱野从天足 |Ref:长揖归山泉
自怜亦是膺门客 犹念斜名俸别时 |Ref:吟想恩荣气益振
茅茨俯苫盖 四徊开开衣 |Ref:双殡两楹间
北阙华旌在 东山社骑来 |Ref:东方曙景新
敷愉东城际 自正复堂门 |Ref:婉娈南陌头
何当挈一榼 不欲同无公 |Ref:同宿龙门山
幽磬此时击 知人动木齐 |Ref:馀音几处闻
坐石长看非我羁 主身多得有高声 |Ref:手中欲揽待君说
水寒巴字急 风暮故人开 |Ref:歌迥竹枝愁
笙歌筵散后 萧乐亦明初 |Ref:风月夜长时
太冲无兄 天没有鬼 |Ref:孝端无弟
小斋庐阜石 竹宿泽莲莲 |Ref:寄自沃洲僧
还将陆居士 置与问诸君 |Ref:晨发泛归航
秋风飒飒孟津头 白叶愁僮不若数 |Ref:立马沙边看水流
南邻北里日经过 北是东门月更归 |Ref:处处淹留乐事多
淮海多夏雨 天山不秋已 |Ref:晓来天始晴
乱来已失耕桑计 早得已啼贡雀违 |Ref:病后休论济活心
广文遗韵留樗散 愁声纵意如不未 |Ref:鸡犬图书共一船
留形住世不知春 掷骨云生明雨雪 |Ref:忽尔天门顶中破
幸接上宾登郑驿 岂不良守赋声魂 |Ref:羞为长女似黄家
雨罢山翠鲜 云潭秋水丽 |Ref:泠泠东风好
村蹊蒿棘间 江宫有莲发 |Ref:往往断新耕
落日吊李广 白身过河阳 |Ref:白首过河阳
历职汉庭久 秋江腊寺来 |Ref:中年胡马骄
雨笼蛩壁吟灯影 月冷蝉床引院声 |Ref:风触蝉枝噪浪声
出亦何所求 行家有所州 |Ref:入亦何所索
还携新市酒 远醉旧江楼 |Ref:远醉曲江花
万户烟侵关令宅 五家风对武年情 |Ref:四时云在使君楼
一笑皆生百媚 将年独有两休 |Ref:宸衷教在谁边
秋雨无情不惜花 满风烟子欲归时 |Ref:芙蓉一一惊颠倒
又恐天风吹天花 一行非云舞五钱 |Ref:缤纷如雨飘袈裟
冶城访古迹 尘尘一之存 |Ref:犹有谢安墩
承欢徒抃舞 聊意惜如离 |Ref:负弛窃忘躯
少壮况逢时世好 多惊独壮在虚平 |Ref:经过宁虑岁华迁
门静唯鸟语 路闲古鸟行 |Ref:坊远少鼓声
三军尽回首 万洒不相泪 |Ref:皆洒望乡泪
梦寐平生在 新中登登近 |Ref:经过处所新
霜果林中变 烟枫叶后行 |Ref:秋花水上残
皎镜方塘菡萏秋 秋山半见绿苍阴 |Ref:此来重见采莲舟
泉自孤峰落 云看一树飞 |Ref:人从诸洞来
侵夜可能争桂魄 献声未在一桃前 |Ref:忍寒应欲试梅妆
咄此蓬瀛侣 冥然同处身 |Ref:无乃贵流霞
瓶识先罗汉 经云复见秦 |Ref:衣存旧福田
长者子来辄献盖 老归当见伤公身 |Ref:辟支佛去空留靴
鲸鬣翻腾四海波 火轮连作为流鱼 |Ref:始将天意用干戈
物役水虚照 万关天薄花 |Ref:魂伤山寂然
沿流路若穷 寒雨春生飞 |Ref:及行路犹远
望越心初切 论蛮意未飞 |Ref:思秦鬓已斑
过洞偏回首 移林不无中 |Ref:登门未发蒙
应须韦杜家家到 玉面三刘取氏馀 |Ref:只有今朝一日闲
盛衰自有时 一梦亦何处 |Ref:圣贤未尝屑
鸿才入贡无人换 客力来胡见相前 |Ref:白首从军有诏征
但使他年遇公道 不能朝地是红衣 |Ref:月轮长在桂珊珊
相门才子称华簪 三户相儿不下津 |Ref:持节东行捧德音
正声感元化 斯气无万通 |Ref:天地清沉沉
代以无为理 其以不作通 |Ref:车书万国同
见我形憔悴 秋雨势白俱 |Ref:劝药语丁宁
才子风流咏晓霞 小上湖头不春回 |Ref:倚楼吟住日初斜
寒蛩傍枕响 秋雁下烟鸣 |Ref:秋菜上墙生
无人本无我 青在在与君 |Ref:非后亦非前
细将朝客说 绿静向人轻 |Ref:须是邑人谙
万乘不可谒 千里何可生 |Ref:千钟固非茂
微末忝闲从 清浮想间顺 |Ref:兼得事蘋藻
一宫花渚漾涟漪 百级上庭欲欲春 |Ref:俀堕鸦鬟出茧眉
莲深微路通 罗客去心生 |Ref:峰曲幽气多
佳期旷何许 日暮自堂前 |Ref:望望空伫立
山亦怀恩地 江心近负寒 |Ref:高禽尽下飞
千悲万恨四五弦 独悲寒有何不有 |Ref:弦中甲马声骈阗
家声肯坠地 寒抱有山风 |Ref:利器当秋毫
尚平婚嫁了无累 长去故知是有愁 |Ref:冯翊符章封却还
竹荫庭除藓色浓 莫留酒散痕飞密 |Ref:道心安逸寂寥中
天文贝叶写 御越玉条吟 |Ref:圣泽菊花浮
殊方听有异 清日气无节 |Ref:失次晓无惭
南朝遗迹在 东见旧声存 |Ref:此去几时还
恩波洽九流 华信奉万里 |Ref:光辉轶千载
计日霜戈尽敌归 夜惊零帽多朝违 |Ref:回首戎城空落晖
渐与论诗久 方无理岳生 |Ref:皆知得句新
三皇实作 七帝相为 |Ref:五帝实治
药化成白云 从成寄黄颜 |Ref:形凋辞素穴
春泉共挥弄 秋穗自谁然 |Ref:好树同攀玩
檐前柳色分张绿 地里莺香下绕流 |Ref:窗外花枝借助香
世乱僮欺主 吾文药等繁 |Ref:年衰鬼弄人
同来死者伤离别 频去离逢感苦情 |Ref:一夜孤魂哭旧营
代工声问远 微泽情人长 |Ref:摄事敬恭加
静影生幽藓 相声入白苔 |Ref:寒声入迥空
朝廷未省有遗策 不马走留到暮飞 |Ref:肯不垂意瓶与罍
崖口上新月 山门过白树 |Ref:石门破苍霭
迟暮堪帷幄 晴秋不野扉 |Ref:飘零且钓缗
衔命将辞国 悲忧换里归 |Ref:非才忝侍臣
天外浮烟远 云间落月休 |Ref:山根野水交
相期早晚见 忽思新新青 |Ref:莫待瘴侵身
北登铜雀上 日望玉如东 |Ref:西望青松郭
玉辇游时应不避 王楼何得不无来 |Ref:千廊万屋自相连
倚剑对风尘 登舟共一华 |Ref:慨然思卫霍
振影希鸿陆 清文此四伫 |Ref:逃名谢蚁丘
路傍埋骨蒿草合 松影回荒夷没沙 |Ref:壁上题诗尘藓生
白鹭栖脂粉 兰莺带乱香 |Ref:赪鲂跃绮罗
孤舟三楚去 独水五春期 |Ref:万里独吟行
路远人罕窥 谁能见清彻 |Ref:谁能见清澈
感若来 为心心 |Ref:思如往
云南八国万部落 日已四洲长路来 |Ref:皆知此路来朝天
春风馀几日 春雨旧秋山 |Ref:两鬓各成丝
恩深势自然 出日更中峰 |Ref:不是爱骄奢
翻然远求友 何肯在在行 |Ref:岂独双归林
谁家扫雪满庭前 石臂请眠一路来 |Ref:万壑千峰在一拳
相将望瀛岛 白云云江州 |Ref:浩荡凌沧溟
甲第金张馆 年书玉玉园 |Ref:门庭车骑多
一身禅诵苦 直剑才山宿 |Ref:洒扫古花宫
吏禄三百石 虚言于十神 |Ref:岁晏有馀粮
白发更添今日鬓 春晴应到旧年泉 |Ref:青衫不改去年身
乍甘烟雾劳 秋苦云云戏 |Ref:不顾龙沙荣
若无诗自遣 欲得酒难求 |Ref:谁奈寂寥春
深山道者家 心迹不流时 |Ref:门户带烟霞
佳期碧天末 年有青此西 |Ref:惆怅紫兰芳
霜节明秋景 还华入夜月 |Ref:轻冰结水湄
