碧水冥空惟鸟飞 青山不见白头飞<eos> |Ref:长天何处云随雨
山光物态弄春辉 一日无人心不得<eos> |Ref:莫为轻阴便拟归
暂来关外分优寄 不见东南不可知<eos> |Ref:不称宾筵语气粗
常闻仗忠信 不见无所思<eos><eos><eos> |Ref:蛮貊可行矣
伏槛观花瑞 高楼清水中<eos><eos><eos> |Ref:称觞庆冬积
欲去焚香礼 还知出与名<eos><eos><eos> |Ref:啼猿峡阻修
一入金门直 千年玉角流<eos><eos><eos> |Ref:星霜三四周
二仪积风雨 万里生绿苔<eos><eos><eos> |Ref:百谷漏波涛
近来疏懒甚 不得是君来<eos><eos><eos> |Ref:诗债后吟身
不见枝上花 不知人不知<eos><eos><eos> |Ref:昨满今渐稀
凉风飒穷巷 日暮风风声<eos><eos><eos> |Ref:秋思满高云
倚身柽几稳 入户酒还闻<eos><eos><eos> |Ref:洒面瀑流香
宿荫高声忏 恩和表表诚<eos><eos><eos> |Ref:斋粮并力舂
灵奇既天造 清净无天涯<eos><eos><eos> |Ref:惜处穷海甸
泥情斜拂印 日日入开筵<eos><eos><eos> |Ref:别脸小低头
虎骑摇风旆 龙旗入雪天<eos><eos><eos> |Ref:貂冠韵水苍
权门阴进夺移才 一道无知为我名<eos> |Ref:驿骑如星堕峡来
把君诗过日 不得不知人<eos><eos><eos> |Ref:念此别惊神
神珠迷罔象 仙子动青山<eos><eos><eos> |Ref:端玉匪雕镌
肺肠无处说 心是我无知<eos><eos><eos> |Ref:一为启聪明
强虏外闻应丧胆 一家何处是清闲<eos> |Ref:平人相见尽开颜
不醉百花酒 不知春梦多<eos><eos><eos> |Ref:伤心千里归
频攀峻过斗 不觉水惊飞<eos><eos><eos> |Ref:末造平如砥
吁此以还 不能与言<eos><eos><eos><eos> |Ref:有固斯郐
牛头高一尺 不见一年生<eos><eos><eos> |Ref:隔坐应相见
莲舟同宿浦 玉阁入新烟<eos><eos><eos> |Ref:柳岸向家山
多情却似总无情 不得春来不得来<eos> |Ref:唯觉尊前笑不成
风光无限极 不觉不知心<eos><eos><eos> |Ref:归楫碍池荷
杨柳在身垂意绪 柳枝飞著酒儿郎<eos> |Ref:藕花落尽见莲心
归来把通籍 不得在天涯<eos><eos><eos> |Ref:且作高堂寿
报花开瑞锦 看影入金杯<eos><eos><eos> |Ref:催柳绽黄金
想象精灵欲见难 不知何处是人间<eos> |Ref:通津一去水漫漫
平明玉案临宣室 不见金公作圣恩<eos> |Ref:已见龙光出傅岩
上国花照地 中知天子深<eos><eos><eos> |Ref:遣君向西征
绿槐阴里一声新 一片春风一一声<eos> |Ref:雾薄风轻力未匀
景阳楼畔千条露 风影千峰一日风<eos> |Ref:一面新妆待晓钟
蜀国信难遇 秦州不可知<eos><eos><eos> |Ref:楚乡心更愁
幸得柱山当郡舍 不知何处是长安<eos> |Ref:在朝长咏卜居篇
黄犬引迎骑马客 白云飞入御楼花<eos> |Ref:青衣扶下钓鱼舟
为报习家多置酒 不知何处是人间<eos> |Ref:夜来风雪过江寒
多雨铭旌故 长安不可寻<eos><eos><eos> |Ref:残灯素帐闲
洁诚以祭 肃乐惟斯<eos><eos><eos><eos> |Ref:奏乐迎神
迎风茎未偃 入月中犹满<eos><eos><eos> |Ref:裛露色犹新
参差碧山路 一落青云路<eos><eos><eos> |Ref:目送江帆疾
身乐道家流 人心不可知<eos><eos><eos> |Ref:惇儒若一矩
郡中忽无事 不见无人迹<eos><eos><eos> |Ref:方外还独往
四时八节上杯盘 一声出水流雨中<eos> |Ref:愿神莫离神处所
纷纷无退者 不得不相亲<eos><eos><eos> |Ref:相顾令人悲
故人日已远 此日不相思<eos><eos><eos> |Ref:身事与谁论
天下今一家 不知君子道<eos><eos><eos> |Ref:云端失双阙
秦穆五羊皮 不见一十年<eos><eos><eos> |Ref:买死百里奚
锄艾恐伤兰 萧条如一水<eos><eos><eos> |Ref:溉兰恐滋艾
为报玉川子 不知无所如<eos><eos><eos> |Ref:知君未是贤
转扇承宵月 开衣入夕阳<eos><eos><eos> |Ref:扬旌照夕蜺
真仙若降如相问 不得无人不得知<eos> |Ref:曾步星罡绕醮坛
可惜金堤地 何人不可知<eos><eos><eos> |Ref:栽之徒尔为
辄有时人至 心无不敢知<eos><eos><eos> |Ref:窗前白眼看
镜中有浪动菱蔓 窗外一生生雪丝<eos> |Ref:陌上无风飘柳花
九万八千 一时无得<eos><eos><eos><eos> |Ref:天授皇年
尽日湖亭卧 春风满日春<eos><eos><eos> |Ref:心闲事亦稀
蕤宾掩抑娇多怨 一把玉声春水落<eos> |Ref:散水玲珑峭更清
岂能车轮疾 不得生光辉<eos><eos><eos> |Ref:渐是墓侵城
江南近别亦依依 不觉春风不见春<eos> |Ref:山晚川长客伴稀
杀气南行动地轴 一行何处不可知<eos> |Ref:不尔苦寒何太酷
寄言立身者 不得不能知<eos><eos><eos> |Ref:勿学柔弱苗
人情难故旧 人事不相思<eos><eos><eos> |Ref:草色易凋枯
兰交空怀思 桂落多相望<eos><eos><eos> |Ref:琼树讵解渴
鸟高恒畏坠 山水不成声<eos><eos><eos> |Ref:帆远却如闲
九衢终日见南山 一日春风满楚城<eos> |Ref:名利何人肯掩关
始随苍梧云 不见青山路<eos><eos><eos> |Ref:不返苍龙阙
欲知行有乐 不得是君来<eos><eos><eos> |Ref:芳尊对物华
新琴传凤凰 一曲清玉钩<eos><eos><eos> |Ref:晴景称高张
春时风入户 日日月开楼<eos><eos><eos> |Ref:几片落朝衣
北与南殊俗 南游望北台<eos><eos><eos> |Ref:身将货孰亲
野寺看红叶 山山入白云<eos><eos><eos> |Ref:县城闻捣衣
朔途际辽海 天上不相亲<eos><eos><eos> |Ref:春思绕轘辕
前年初缺守 今日一年春<eos><eos><eos> |Ref:慎简由宸扆
麒麟前殿拜天子 玉殿玉盘清云影<eos> |Ref:走马西击长城胡
昨日山僧来 今日不相见<eos><eos><eos> |Ref:犹嫌嘉遁浅
高楼怀古动悲歌 一夜春风满楚楼<eos> |Ref:鹳雀今无野燕过
百年莫惜千回醉 一日无涯一夜愁<eos> |Ref:一盏能消万古愁
泥丸空示世 金屋养公卿<eos><eos><eos> |Ref:腾举不为名
论边书未上 归去日无穷<eos><eos><eos> |Ref:招隐诗还作
莲叶初浮水 花花不带风<eos><eos><eos> |Ref:鸥雏已狎人
悄如促柱弦 不见春风月<eos><eos><eos> |Ref:掩抑多不平
移床避日依松竹 对酒开僧见旧花<eos> |Ref:解带当风挂薜萝
逃遁从所尚 无人为群籍<eos><eos><eos> |Ref:萧萧绝尘轨
到处公卿席 无人风满楼<eos><eos><eos> |Ref:无辞酒醆深
有心只恋琵琶坂 有日无言得不得<eos> |Ref:无意更登山上山
啼襟与愁鬓 不觉不相亲<eos><eos><eos> |Ref:此日两成斑
欲向文通径 还知道事深<eos><eos><eos> |Ref:先游武子家
直恐刚肠闲未得 不知何处是春风<eos> |Ref:醉吟争奈被才牵
天高庆雷齐坠地 天高万里天千里<eos> |Ref:地无惊烟海千里
玄风叶黎庶 白日青山北<eos><eos><eos> |Ref:德泽浸区宇
汲引窥兰室 临晨动玉琴<eos><eos><eos> |Ref:招携入翰林
曳裾诚已矣 持笔不成扬<eos><eos><eos> |Ref:投笔尚凄然
危碧层层映水天 清风落月入天台<eos> |Ref:半垂冈陇下民田
金窗夹绣户 玉箸拂金盘<eos><eos><eos> |Ref:珠箔悬银钩
夜台今寂寞 春草不相亲<eos><eos><eos> |Ref:独是子云居
凫舟才结缆 鱼鸟不归营<eos><eos><eos> |Ref:驺驾已相迎
眼波向我无端艳 不得为君作子孙<eos> |Ref:心火因君特地然
白日无定影 青山无不知<eos><eos><eos> |Ref:清江无定波
桂香浮半月 花落似成风<eos><eos><eos> |Ref:兰气袭回风
争那金乌何 不见天子死<eos><eos><eos> |Ref:头上飞不住
旧业旋从征赋失 新恩不得为名为<eos> |Ref:故人多逐乱离空
只将波上鸥为侣 不得家来酒语多<eos> |Ref:不把人间事系心
天籁如击琴 天光照天里<eos><eos><eos> |Ref:泉声似摐铎
迢递天南面 萧条日上阳<eos><eos><eos> |Ref:苍茫海北漘
天界宜春赏 天光夜更新<eos><eos><eos> |Ref:禅门不掩关
而今不要教人识 不得无人作酒书<eos> |Ref:正藉将军死斗时
故人间城阙 不见天涯里<eos><eos><eos> |Ref:音信两脉脉
寒暄一夜隔 寒雪一年多<eos><eos><eos> |Ref:客鬓两年催
少年负胆气 不得不能语<eos><eos><eos> |Ref:好勇复知机
两揆光天秩 三为出所求<eos><eos><eos> |Ref:三朝奉帝熙
文章千古事 文字一枝开<eos><eos><eos> |Ref:得失寸心知
凭高送春目 不觉不知心<eos><eos><eos> |Ref:流恨伤千古
舒君郁郁怀 不复无相思<eos><eos><eos> |Ref:饮彼白玉卮
社日双飞燕 山来不得人<eos><eos><eos> |Ref:春分百啭莺
五斗米留人 一枝花自好<eos><eos><eos> |Ref:东谿忆垂钓
宫殿半山上 天台高月明<eos><eos><eos> |Ref:人家向下居
君还谢幕府 不得到君来<eos><eos><eos> |Ref:慎勿轻刍荛
天地日流血 天涯风满天<eos><eos><eos> |Ref:朝廷谁请缨
及夏清岩穴 无由无所为<eos><eos><eos> |Ref:经春溜石梯
杲杲朝阳时 清然远山在<eos><eos><eos> |Ref:悠悠清陂望
薰兰敦久要 白药无所贵<eos><eos><eos> |Ref:披雾转相亲
孤竹箫管 一声清响<eos><eos><eos><eos> |Ref:空桑瑟琴
仍闻好事者 不得是君恩<eos><eos><eos> |Ref:将我画屏风
鳞鳞鱼浦帆 飞噪白云津<eos><eos><eos> |Ref:漭漭芦洲草
二十渐乖张 三年在戎服<eos><eos><eos> |Ref:清沟映污渠
古来达士志 不得为天涯<eos><eos><eos> |Ref:宁受外物牵
拂衣易为高 不得心不知<eos><eos><eos> |Ref:沦迹难有趣
日晚上楼招估客 一声寒月入江塘<eos> |Ref:轲峨大艑落帆来
楚外同文在 江边不可知<eos><eos><eos> |Ref:荆门得信时
密行称闺阃 清意不成<unk><eos><eos><eos> |Ref:明诚动搢绅
越岩森其前 万里无所求<eos><eos><eos> |Ref:浙江漫其后
主文有崔李 不得为吾兄<eos><eos><eos> |Ref:郁郁为朝德
宝器金罍重 金和玉玉盘<eos><eos><eos> |Ref:清音玉珮寒
经今三十馀年事 不得春风不见人<eos> |Ref:却说还同昨日时
移床就日檐间卧 一点无声月影中<eos> |Ref:卧咏闲诗侧枕琴
何事经年断书信 不知何处是人人<eos> |Ref:愁闻远客说风波
得地牡丹盛 无人作子贫<eos><eos><eos> |Ref:晓添龙麝香
倾朝朱紫正骈阗 不得长安一度年<eos> |Ref:红杏青莎映广筵
孤梦家山远 孤舟水上深<eos><eos><eos> |Ref:独眠秋夜长
欲言塞下事 不得无人心<eos><eos><eos> |Ref:天子不召见
昼景彻云树 秋风生翠霞<eos><eos><eos> |Ref:夕阴澄古逵
巨孽盗都城 何由羽檄飞<eos><eos><eos> |Ref:传闻天下惊
向人光不定 入竹心不歇<eos><eos><eos> |Ref:离掌势难留
几见纤纤动处 不知一片无人<eos><eos> |Ref:时闻款款娇声
为人无贵贱 不得为君死<eos><eos><eos> |Ref:莫学鸡狗肥
良辰自多暇 不见不相亲<eos><eos><eos> |Ref:欣与数子游
蜀岩阴面冷冥冥 一片春来满一杯<eos> |Ref:偃雪欺霜半露青
方丈言虚设 何人不可论<eos><eos><eos> |Ref:华胥事眇然
幢盖飘飘入冷空 春风飘落月风飞<eos> |Ref:天风瑟瑟星河动
入竹藤似蛇 看鱼饭不<unk><eos><eos><eos> |Ref:侵墙水成藓
息阴无恶木 不得无心心<eos><eos><eos> |Ref:饮水必清源
青松古墓伤碑碣 白鸟飞时出云流<eos> |Ref:红杏春园羡管弦
小年师祖过今祖 不见山山无处时<eos> |Ref:异域应传项信名
乐事渐无身渐老 不知何处是人间<eos> |Ref:从今始拟负风光
长门闭定不求生 一片青山不可攀<eos> |Ref:烧却头花卸却筝
谢公未是深沉量 不觉春风无处人<eos> |Ref:犹把输赢局上夸
回烛整头簪 清音入中阙<eos><eos><eos> |Ref:漱泉立中庭
太行何难哉 不得无所为<eos><eos><eos> |Ref:北斗不可斟
岂学屈大夫 不能为君子<eos><eos><eos> |Ref:忧惭对渔叟
秋至云容敛 春寒月照空<eos><eos><eos> |Ref:天中日景清
羽毛特异诸禽 不得无人不见<eos><eos> |Ref:出谷堪听好音
沈忧万种与千种 不得无人无我人<eos> |Ref:行乐十分无一分
分明一枝桂 不觉一年春<eos><eos><eos> |Ref:堪动楚江滨
乱山青翠郡城东 一日春风一一枝<eos> |Ref:爽节凭高一望通
月衔花绶镜 风落玉壶春<eos><eos><eos> |Ref:露缀彩丝囊
买怜分薄俸 为病问贫贫<eos><eos><eos> |Ref:栽称作闲官
闻道桐乡有遗老 不知何处是人人<eos> |Ref:邑中还欲置生祠
暗牵诗思苦 深觉鸟声迟<eos><eos><eos> |Ref:不独落梅花
千夫驰驿道 万里凌龙夷<eos><eos><eos> |Ref:驷马入家山
朝咏游仙诗 不知此心期<eos><eos><eos> |Ref:暮歌采薇曲
月流春夜短 风落夜时来<eos><eos><eos> |Ref:日下秋天速
战龙思王业 天子为公卿<eos><eos><eos> |Ref:倚马赋神功
常闻平楚狱 不得见天州<eos><eos><eos> |Ref:为报里门高
谁知怀逸辩 不见此心心<eos><eos><eos> |Ref:重席冠群英
遥城候骑来仍少 远浦行人夜不回<eos> |Ref:傍岭哀猿发无数
捧彻祗敬 降牲荐盛<eos><eos><eos><eos> |Ref:击拊和鸣
水天春暗暮寒浓 一向春风满一杯<eos> |Ref:船闭篷窗细雨中
耿耿离幽谷 萧萧入野林<eos><eos><eos> |Ref:悠悠望瓯越
道在甘微禄 心无得所求<eos><eos><eos> |Ref:时难耻息机
别路千嶂里 归行万里中<eos><eos><eos> |Ref:诗情暮云端
几年山下事仙翁 一片无人日不开<eos> |Ref:名在长生箓籍中
帝阍不敢干 何必为天子<eos><eos><eos> |Ref:恓恓坐长画
白露天地肃 青云山色清<eos><eos><eos> |Ref:黄花门馆幽
徒夸远方岫 不觉不能惊<eos><eos><eos> |Ref:曷若中峰灵
山松径与瀑泉通 一片春来入海边<eos> |Ref:巾舄行吟想越中
一枝攀折回头是 一片清流不可寻<eos> |Ref:莫向清秋惜马蹄
凡吏之所诃 不能为其如<eos><eos><eos> |Ref:嗟实颇有之
青蝇易相点 白羽不能同<eos><eos><eos> |Ref:白雪难同调
更升台上望 不见一年年<eos><eos><eos> |Ref:云物已昭彰
何时畏斤斧 不见春风山<eos><eos><eos> |Ref:几度经霜雪
粢盛以洁 玉祚惟斯<eos><eos><eos><eos> |Ref:房俎斯荐
应得丹砂力 无知不可知<eos><eos><eos> |Ref:春来黑发新
煌煌文明代 肃肃出天明<eos><eos><eos> |Ref:俱幸生此辰
谁见轻阴是良夜 不知春色不相逢<eos> |Ref:瀑泉声畔月明中
将军听晓角 归去不相逢<eos><eos><eos> |Ref:战马欲南归
良工操斤斧 圣道中毫绝<eos><eos><eos> |Ref:沉吟方在斯
空将千感泪 不得一相思<eos><eos><eos> |Ref:异日拜黄扉
万寻挂鹤巢 一道无所适<eos><eos><eos> |Ref:千丈垂猿臂
碧落千山万仞现 不知何处一行行<eos> |Ref:藤萝相接次连谿
正声感元化 不觉在天河<eos><eos><eos> |Ref:天地清沉沉
执玩驰心处 相逢入夜中<eos><eos><eos> |Ref:迢迢巴峡东
雄笔佐名公 文华在汉门<eos><eos><eos> |Ref:虚舟应时辈
清论畅玄言 清物无清芬<eos><eos><eos> |Ref:雅琴飞白雪
新月隔林时 秋风满山色<eos><eos><eos> |Ref:千峰翠微里
昔我芝兰契 今年玉阙游<eos><eos><eos> |Ref:悠然云雨疏
作客诚已难 不知不可忘<eos><eos><eos> |Ref:为臣尤不易
岑公相门子 不得不可知<eos><eos><eos> |Ref:雅望归安石
岁暮云皋鹤 春来无处期<eos><eos><eos> |Ref:闻天更一鸣
西院春归道思深 一枝残月一条丝<eos> |Ref:披衣闲听暝猿吟
哀哉旧妇何眉目 不得人心不可知<eos> |Ref:新婿随行向天哭
白麻红烛夜 青柳一杯春<eos><eos><eos> |Ref:清漏紫微天
闲花半落犹迷蝶 小树无声不见花<eos> |Ref:白鸟双飞不避人
降鹤池前回步辇 越山山上入人诗<eos> |Ref:栖鸾树杪出行宫
水玉簪头白角巾 金钗绣袖入春风<eos> |Ref:瑶琴寂历拂轻尘
吾皇别有剑 不得不相亲<eos><eos><eos> |Ref:何必铸金为
曙阴迎日尽 秋色入山深<eos><eos><eos> |Ref:春气抱岩流
白日全含朱鸟窗 青云不见天涯里<eos> |Ref:流云半入苍龙阙
不费黄金资 无知一玉裁<eos><eos><eos> |Ref:宁求白璧赉
火急召亲宾 风寒不成路<eos><eos><eos> |Ref:欢游莫厌频
随游多笑傲 不得是生涯<eos><eos><eos> |Ref:遇胜且裴回
将命宁知远 归来不可怜<eos><eos><eos> |Ref:归心讵可传
宿客未眠过夜半 春山不觉到秋风<eos> |Ref:独闻山雨到来时
颜貌岁岁改 世人无得言<eos><eos><eos> |Ref:利心朝朝新
兹兴不可接 不知春不知<eos><eos><eos> |Ref:翛翛烟际鸿
莫道淮南悲木叶 不知何处是春山<eos> |Ref:不闻摇落更堪愁
烟波遗汲汲 云日不相亲<eos><eos><eos> |Ref:矰缴任云云
缵夏功传启 光光自在功<eos><eos><eos> |Ref:兴周业继昌
六龙驻旌罕 万里游龙城<eos><eos><eos> |Ref:四牡耀旂常
居高声自远 心在日无天<eos><eos><eos> |Ref:非是藉秋风
闻道花门破 无人月里开<eos><eos><eos> |Ref:和亲事却非
小溪在城下 一片秋风落<eos><eos><eos> |Ref:形胜堪赏爱
臼中西山药 不得无所为<eos><eos><eos> |Ref:袖里淮南方
何言永不发 不得不知君<eos><eos><eos> |Ref:暗使销光彩
深入富春人不见 不知闲路客无情<eos> |Ref:闲门空掩半庭莎
笑言各有趣 不得无所为<eos><eos><eos> |Ref:悠哉古孙登
令人畏相识 不见春风愁<eos><eos><eos> |Ref:欲画白云看
旅退惭随众 归来不不知<eos><eos><eos> |Ref:孤飞怯向前
近酬新乐录 来作旧人书<eos><eos><eos> |Ref:仍寄续离骚
西施颜色今何在 一日相逢不可知<eos> |Ref:但看春风百草头
言从大夫后 不得是吾师<eos><eos><eos> |Ref:用答圣人心
青溪口边一老翁 一日不见一一枝<eos> |Ref:鬓眉皓白已衰朽
况值雷雨晴 不知人事远<eos><eos><eos> |Ref:郊原转岑寂
惆怅南朝事 何人不可寻<eos><eos><eos> |Ref:长江独至今
四无人声 一日不见<eos><eos><eos><eos> |Ref:谁与儿语
山郡多暇日 山山无所思<eos><eos><eos> |Ref:社时放吏归
道成能缩地 不得无所为<eos><eos><eos> |Ref:功满欲升天
谋计竟何就 天台无可知<eos><eos><eos> |Ref:嗟嗟世与身
汾晋为丰沛 汉帝不登临<eos><eos><eos> |Ref:暴隋竟涤除
前朝山水国 今日不相亲<eos><eos><eos> |Ref:旧日风流地
献地非更宅 登山有一生<eos><eos><eos> |Ref:遗忠永奉恩
努力南行少惆怅 不觉春风不见云<eos> |Ref:江州犹似胜通州
长啸披烟霞 不知入天地<eos><eos><eos> |Ref:高步寻兰若
愁看函谷路 不见到东山<eos><eos><eos> |Ref:老尽布衣人
坐中寻竹客 行路有人情<eos><eos><eos> |Ref:将去更逡巡
非色非空非不空 不知何处不知知<eos> |Ref:空中真色不玲珑
花落西亭添别恨 月开春水入花开<eos> |Ref:柳阴南浦促归程
菊芳寒露洗 荷落夜风光<eos><eos><eos> |Ref:杯翠夕阳曛
玉树笼烟鳷鹊观 玉门风动金玉盘<eos> |Ref:石渠流水凤凰池
行藏如此辈 不觉不知名<eos><eos><eos> |Ref:何以谓谋身
未刈蚩尤旗 还连虎豹群<eos><eos><eos> |Ref:方同轩后年
恭闻国有英雄将 不得为君不可为<eos> |Ref:拟把何心答圣朝
芳草迷三岛 春风入白头<eos><eos><eos> |Ref:澄波似五湖
林花扫更落 山鸟入禅床<eos><eos><eos> |Ref:径草踏还生
指此各相勉 不知心自知<eos><eos><eos> |Ref:良辰且欢悦
归来戎马间 不见天地明<eos><eos><eos> |Ref:惊顾似羁雌
寂寞前山暮 萧萧秋水寒<eos><eos><eos> |Ref:归人樵采歌
家声肯坠地 日日不如雪<eos><eos><eos> |Ref:利器当秋毫
衰年病只瘦 不觉不知贫<eos><eos><eos> |Ref:长夏想为情
悬头曾苦学 入子不知师<eos><eos><eos> |Ref:折臂反成医
鹤绫三尺晓霞浓 不得无人不可知<eos> |Ref:送与东家二八容
早发长风里 春风日又斜<eos><eos><eos> |Ref:边城曙色间
龙门乍出难胜幸 玉帐三年不可知<eos> |Ref:鸳侣先行是最荣
云敛石泉飞险窦 月连山水有烟苔<eos> |Ref:月明山鼠下枯藤
华彩诚可爱 清容无可怜<eos><eos><eos> |Ref:生理苦已伤
忆见特公赏秋处 不知一曲一年多<eos> |Ref:凉溪看月清光寒
籍甚二十年 不知一不得<eos><eos><eos> |Ref:今日方款颜
有时出东户 不见无所思<eos><eos><eos> |Ref:更欲檐下坐
寒姿数片奇突兀 一片金花满山绿<eos> |Ref:曾作秋江秋水骨
远漏微更疏 高楼千里远<eos><eos><eos> |Ref:薄衾中夜凉
月始云中出 风流月上来<eos><eos><eos> |Ref:花犹雾里藏
但令黄精熟 不见青玉时<eos><eos><eos> |Ref:不虑韶光迟
只缘支遁谈经妙 不得新花见不开<eos> |Ref:所以许询都讲来
镜湖春水绿 云树夜风青<eos><eos><eos> |Ref:越客忆归否
太室三招提 天龙不得知<eos><eos><eos> |Ref:其趣皆不同
千门晓映山川色 一片风流满天地<eos> |Ref:双阙遥连日月光
嫦娥一入月中去 不见春风无客愁<eos> |Ref:巫峡千秋空白云
飘丝交殿网 落影入云泉<eos><eos><eos> |Ref:乱滴起池沤
请告严程尽 不知远人归<eos><eos><eos> |Ref:西归道路寒
此乡之人气量窄 不得不知不可知<eos> |Ref:误竞南风疏北客
井鲋思反泉 山屋居无<unk><eos><eos><eos> |Ref:笼莺悔出谷
何人知此计 不见一年来<eos><eos><eos> |Ref:复议出长安
禅师与诗客 不觉不相逢<eos><eos><eos> |Ref:次第来相看
霜果林中变 风波水水流<eos><eos><eos> |Ref:秋花水上残
东海穷诗客 南山见此身<eos><eos><eos> |Ref:西风古驿亭
衡门亦无路 不见春风流<eos><eos><eos> |Ref:何况入西秦
翟门悲暝雀 渔客入残晖<eos><eos><eos> |Ref:墨灶上寒苔
俯眺琵琶峡 悠悠湘水滨<eos><eos><eos> |Ref:平看云雨台
疆场及无事 不见此时期<eos><eos><eos> |Ref:雅歌而餐饭
主人频问遣妖术 不得无人不得知<eos> |Ref:力尽计穷音响凄
岂依河山险 不得无所为<eos><eos><eos> |Ref:将顺休明德
楼上日斜吹暮角 山中春入洞庭花<eos> |Ref:院中人出锁游鱼
归奏丹墀左 归来玉玉台<eos><eos><eos> |Ref:骞能俟来哲
行色兼多病 归心不可怜<eos><eos><eos> |Ref:苍茫泛爱前
白马青袍豁眼明 不知春色是何人<eos> |Ref:许他真是查郎髓
玉瓮瑶坛二三级 金皇金下人无事<eos> |Ref:学仙弟子参差入
殷勤解金锁 不见白云心<eos><eos><eos> |Ref:昨夜雨凄凄
自有两少妾 不知人不成<eos><eos><eos> |Ref:双骑骏马行
阴壁下苍黑 寒泉落青苔<eos><eos><eos> |Ref:烟含清江楼
应是西园花已落 一枝无处不相逢<eos> |Ref:满溪红片向东流
