除却醉来开口笑 不知相见一年年<eos> |Ref:世间何事更关身
寒林叶落鸟巢出 古水烟深野鸟闲<eos> |Ref:古渡风高渔艇稀
十载文场敢惮劳 三星相幸称欢旋<eos> |Ref:宋都回鶂为风高
连峰入户牖 白石入庭泉<eos><eos><eos> |Ref:胜概凌方壶
山下只今黄绢字 朝来日月上雕鞍<eos> |Ref:泪痕犹堕六州儿
愿与金庭会 何如玉辇期<eos><eos><eos> |Ref:将待玉书征
征马百度嘶 江客满回军<eos><eos><eos> |Ref:游车动行尘
处处白云迷驻马 城边风冷满春霜<eos> |Ref:家家红树近流莺
巫山高不极 何处得清芬<eos><eos><eos> |Ref:合沓状奇新
缘情无怨刺 一曲不为歌<eos><eos><eos> |Ref:却似反离骚
岂知秋未登 江山花犹发<eos><eos><eos> |Ref:贫窭有仓卒
藉多虽是叶 不是是君心<eos><eos><eos> |Ref:栽盛不如花
抚坐悲今古 天心忆旧游<eos><eos><eos> |Ref:瞻容感废兴
神降上哲 祚我惟明<eos><eos><eos><eos> |Ref:维天配长
将牛何处去 不是故山边<eos><eos><eos> |Ref:耕彼故城东
只言柱下留期信 不是相逢长老谁<eos> |Ref:好欲将心学松蕣
俸钱四五万 不见一千年<eos><eos><eos> |Ref:月可奉晨昏
姓氏不书高士传 将何不用子皇书<eos> |Ref:形神自得逸人风
炼句贻箱箧 红妆著小莲<eos><eos><eos> |Ref:悬图见蜀岷
寸心同尺璧 不得问君来<eos><eos><eos> |Ref:投此报冯夷
乃泳故堤 不见不知<eos><eos><eos><eos> |Ref:陷于沙泥
商岭老人自追逐 君今何处为君王<eos> |Ref:蓬丘逸士相逢迎
攀龙附凤势莫当 从升天势势相如<eos> |Ref:天下尽化为侯王
日有谁来觅 山山处处深<eos><eos><eos> |Ref:层层鸟道中
骚人白芷伤心暗 今日垂杨愁自长<eos> |Ref:狎客红筵夺眼明
别怨秦城暮 江湖水脉长<eos><eos><eos> |Ref:途穷越岭斜
奚寇西北来 不见此中叹<eos><eos><eos> |Ref:挥霍如天翻
倘逢感激许然诺 何处无由问此生<eos> |Ref:必能万古留清规
一事不经营 天边闻射门<eos><eos><eos> |Ref:孤峰长老情
满眼黄花初泛酒 不知花发不堪花<eos> |Ref:隔烟红树欲迎霜
此夜江中月 何人到此林<eos><eos><eos> |Ref:流光花上春
汤公多外友 不是此行期<eos><eos><eos> |Ref:洛社自相依
真珠帘外静无尘 玉殿云中见不人<eos> |Ref:耿耿凉天景象新
鸀鳿窥 石砾无所望<eos><eos><eos> |Ref:潋滟无因见
微风吹钓丝 一臂采于君<eos><eos><eos> |Ref:袅袅十尺长
孟阳逢山旧 何人得此身<eos><eos><eos> |Ref:仙馆留清才
危弦音有绝 不是此无人<eos><eos><eos> |Ref:哀玉韵犹虚
淮南秋雨夜 月下夜深深<eos><eos><eos> |Ref:高斋闻雁来
渔人抛得钓筒尽 此夜闲人酒得眠<eos> |Ref:却放轻舟下急滩
多沽新丰醁 别时落涟洏<eos><eos><eos> |Ref:满载剡溪船
光异磨砻出 龙文斗虎来<eos><eos><eos> |Ref:轮非雕斫成
赤城容许到 不是鬓成年<eos><eos><eos> |Ref:敢惮百千层
将军行失势 一叶垂垂泪<eos><eos><eos> |Ref:部曲遂无功
丽词传锦绮 一曲玉金钩<eos><eos><eos> |Ref:珍价掩琅玕
东川八十家 不得一相思<eos><eos><eos> |Ref:冤愤一言伸
深将宠辱齐 不得老心心<eos><eos><eos> |Ref:往往亦凄凄
两京尘路一双鬓 一日开真照此群<eos> |Ref:不见玉泉千万秋
数急芙蓉带 香罗翡翠裙<eos><eos><eos> |Ref:频抽翡翠簪
邮亭世自换 此夕心无所<eos><eos><eos> |Ref:白日事长垂
丰屋中栉比 山光万壑通<eos><eos><eos> |Ref:高墙外回环
竹径通城下 山城入石中<eos><eos><eos> |Ref:松风隔水西
雪飘歌句高难和 花发诗来一半知<eos> |Ref:鹤拂烟霄老惯飞
高台何巍巍 秋微入楚城<eos><eos><eos> |Ref:行殿起中央
沈水良材食柏珍 一篇章句奉皇猷<eos> |Ref:博山烟暖玉楼春
沙含水弩多伤骨 田染枯枯不复喧<eos> |Ref:田仰畬刀少用牛
今朝有酒今朝醉 一夜愁人不到春<eos> |Ref:明日愁来明日愁
于焉洒烦抱 清霜清夜光<eos><eos><eos> |Ref:可以对华觞
林垂短长云 一日不可见<eos><eos><eos> |Ref:山缀丹碧颗
楼光去日远 云雨归云生<eos><eos><eos> |Ref:峡影入江深
三献寝不报 不觉鬓已衰<eos><eos><eos> |Ref:迟迟空手回
今日把手笑 不觉无尘忧<eos><eos><eos> |Ref:少时各他乡
遥闻虏到平陵下 一首归来不复由<eos> |Ref:不待诏书行上马
榆柳飘枯叶 寒云入翠微<eos><eos><eos> |Ref:风雨倒横查
凡吏之所诃 不得为我论<eos><eos><eos> |Ref:嗟实颇有之
遥怜内舍著新衣 不见人间两不人<eos> |Ref:复向邻家醉落晖
春色东来度渭桥 水川北渡看画马<eos> |Ref:青门垂柳百千条
若说神仙求便得 不知相见不能空<eos> |Ref:茂陵何事在人间
虽将身佐幕 不知无死薄<eos><eos><eos> |Ref:出入似闲居
此时与子空归来 不觉花花开洞里<eos> |Ref:男呻女吟四壁静
谁信后庭人 不得不可得<eos><eos><eos> |Ref:年年独不见
邻妇饷田归 不得为我看<eos><eos><eos> |Ref:不见百花芳
赠言回驭日 万里雁云中<eos><eos><eos> |Ref:图画彼山川
坐山客 不可得<eos><eos><eos><eos><eos> |Ref:北亭湖
远近留连分岳色 暮秋轻似隔云人<eos> |Ref:别离呜咽乱泉声
承明年老辄自论 今日归人不归路<eos> |Ref:乞得湘守东南奔
金错囊从罄 闲看竹里珍<eos><eos><eos> |Ref:银壶酒易赊
垂休临有道 不是不知君<eos><eos><eos> |Ref:作瑞掩前经
白蛾飞舞地 不见此山时<eos><eos><eos> |Ref:幽蠹落书棚
气笼星欲尽 风中月不归<eos><eos><eos> |Ref:光满露初多
馀湿犹沾草 春寒欲带梅<eos><eos><eos> |Ref:残流尚入溪
红鲜终日有 不得不相亲<eos><eos><eos> |Ref:玉粒未吾悭
脱舄挂岭云 飞跃碧长沟<eos><eos><eos> |Ref:冏然若鸟逝
亦留仙诀在人间 不觉无人似药根<eos> |Ref:啮镞终言药非道
传有沙场千万骑 御史天生不一州<eos> |Ref:昨日边庭羽书至
谁料江边怀我夜 不知江上秋何已<eos> |Ref:正当池畔望君时
三岛路遥身汩没 五云天片世难同<eos> |Ref:九天风急羽差池
欲求尘外物 不得世间踪<eos><eos><eos> |Ref:此树是瑶林
从此神仙学得否 玉人不得是闲游<eos> |Ref:白须虽有未为多
云輧欲下星斗动 细似不知儿女来<eos> |Ref:天乐一声肌骨寒
南方归去再生天 汉苑今年有少年<eos> |Ref:内殿今年异昔年
列科叨甲乙 不必为腰垂<eos><eos><eos> |Ref:从宦出丘樊
一去别金匣 不见不相逢<eos><eos><eos> |Ref:飞沉失相从
寒花带雪满山腰 一片云中落一壶<eos> |Ref:著柳冰珠满碧条
月华吐艳明烛烛 醉尽不能愁少花<eos> |Ref:青楼妇唱捣衣曲
念昔从君渡湘水 不得君王在天外<eos> |Ref:大帆夜划穷高桅
中有一人能汉语 玉堂青药学狼床<eos> |Ref:自言家本长城窟
相思咽不语 江水白云生<eos><eos><eos> |Ref:回向锦屏眠
上国花照地 一夜月连天<eos><eos><eos> |Ref:遣君向西征
妙年弄柔翰 清观文九天<eos><eos><eos> |Ref:弱冠偶良晨
月明全见芦花白 处处闻香绿草泥<eos> |Ref:风起遥闻杜若香
花当西施面 何人上子卿<eos><eos><eos> |Ref:泉胜卫玠清
自兹心洽迹亦洽 不觉少颜华不易<eos> |Ref:居常并榻游并轩
天龙睡坤腹 不知心不足<eos><eos><eos> |Ref:土蚀金鬣绿
莫待春深去 山深水岸长<eos><eos><eos> |Ref:花时鞍马多
密林飞暗狖 山上走飞龙<eos><eos><eos> |Ref:广泽发鸣鸿
不是东城射雉处 不知新化是仙人<eos> |Ref:即应南苑斗鸡时
厥祀四百馀 不得有清风<eos><eos><eos> |Ref:作者如排穿
出郭始知人代变 天威吹尽帝王传<eos> |Ref:又须抛却古时钱
人愁荒村路远 野店连烟水迟<eos><eos> |Ref:马怯寒溪水深
不将高盖竟烟尘 酒罢诗题意不同<eos> |Ref:自向蓬茅认此身
君今若问采芝路 不是青山不得来<eos> |Ref:踏水踏云攀杳冥
霜蕙后时老 不得不相逢<eos><eos><eos> |Ref:巢禽知暝还
国租容客旅 不得问身来<eos><eos><eos> |Ref:香熟玉山禾
梅月多开户 春风不作花<eos><eos><eos> |Ref:衣裳润欲滴
不如古溪水 不见秋风秋<eos><eos><eos> |Ref:只望乡江流
谁知豪贵多羁束 不得闲游不得闲<eos> |Ref:落尽春红不见来
车马无时绝 山河不可通<eos><eos><eos> |Ref:行子倦风尘
花作婵娟玉作妆 朝来入马斗苔房<eos> |Ref:风流争似旧徐娘
鸿私浃幽远 不能问清薄<eos><eos><eos> |Ref:厚泽润凋枯
千颅咽云上 不见白云来<eos><eos><eos> |Ref:过半随潮落
藉草与行莎 春来不复稀<eos><eos><eos> |Ref:相看日未斜
红荷碧筱夜相鲜 玉树艳花香露色<eos> |Ref:皂盖兰桡浮翠筵
忽忆明皇西幸时 一天飞落满天津<eos> |Ref:暗伤潜恨竟谁知
何处最伤心 不得为君语<eos><eos><eos> |Ref:关山见秋月
安得四海中 不得一生死<eos><eos><eos> |Ref:尽为虞芮土
洪流盘砥柱 不见上中清<eos><eos><eos> |Ref:淮济不同波
江头寒夜宿 夜夜夜时闻<eos><eos><eos> |Ref:垄上歉年耕
朝野同称叹 心心不忘叹<eos><eos><eos> |Ref:园绮郁齐名
青山自一川 不得一杯回<eos><eos><eos> |Ref:城郭洗忧戚
萧条寒日落 山雨暮烟深<eos><eos><eos> |Ref:号令彻穷边
不及兰亭会 何人得此生<eos><eos><eos> |Ref:空吟祓禊诗
濯缨何处去 不是故山边<eos><eos><eos> |Ref:鉴物自堪妍
含香初待漏 一月正新斜<eos><eos><eos> |Ref:持简旧生风
饫沃膻芗 我于其中<eos><eos><eos><eos> |Ref:产祥降嘏
野兽眠低草 花阴带暖烟<eos><eos><eos> |Ref:池禽浴动荷
鹤性松心合在山 一声清咽一瓶中<eos> |Ref:五侯门馆怯趋攀
于今年少尚如此 今日不能得相识<eos> |Ref:历睹远代无伦比
飞鸟没何处 一日一一归<eos><eos><eos> |Ref:青山空向人
慕诗客 不可得<eos><eos><eos><eos><eos> |Ref:爱僧家
宿昔朱颜成暮齿 不肯一岁春相思<eos> |Ref:须臾白发变垂髫
秋风入庭树 不见故人花<eos><eos><eos> |Ref:从此不相见
但得海水作枯池 一飞出天心不死<eos> |Ref:海中鱼龙何所为
乘饥纵搏击 不得破家王<eos><eos><eos> |Ref:未饱须絷维
谁引相公开口笑 花后相看时相见<eos> |Ref:不逢白监与刘郎
想见龙山会 何人在此端<eos><eos><eos> |Ref:良辰亦似今
恒山北临岱 天旆汉萧翩<eos><eos><eos> |Ref:秀崿东跨幽
春宵思极兰灯暗 夜听寒中枕月闻<eos> |Ref:晓月啼多锦幕垂
不如来饮酒 不觉醉醺醺<eos><eos><eos> |Ref:相对醉厌厌
旦夕醉吟身 何人得见无<eos><eos><eos> |Ref:相思又此春
楚国所以霸 天子无所之<eos><eos><eos> |Ref:樊姬有力焉
翳潭花似织 春色鬓如丝<eos><eos><eos> |Ref:缘岭竹成围
西楼怅望芳菲节 江水深春碧水平<eos> |Ref:处处斜阳草似苔
晓景澹无际 白日无处处<eos><eos><eos> |Ref:孤舟恣回环
青溪口边一老翁 此地不见三千里<eos> |Ref:鬓眉皓白已衰朽
今日看嵩洛 何人见白车<eos><eos><eos> |Ref:回头叹世间
堆案绕床君莫怪 垂窗下卷不应家<eos> |Ref:已经愁思古时人
行人莫问当年事 不觉相逢到晓门<eos> |Ref:故国东来渭水流
试出褰罗幌 香闲醉酒卮<eos><eos><eos> |Ref:还来著锦筵
无意似多情 不知无所得<eos><eos><eos> |Ref:千家万家去
祗召趋龙阙 高随上帝车<eos><eos><eos> |Ref:承恩拜虎闱
偶欢新岁近 不见故乡期<eos><eos><eos> |Ref:惜别后期疏
亚竹寒惊牖 寒风暖食梳<eos><eos><eos> |Ref:空堂夜向隅
嵯峨天姥峰 不得不能开<eos><eos><eos> |Ref:翠色春更碧
莫道淮南悲木叶 君将一曲战河城<eos> |Ref:不闻摇落更堪愁
莫羡居者闲 不知此生远<eos><eos><eos> |Ref:冢边人已耕
任重功无立 何人得得知<eos><eos><eos> |Ref:力微恩未酬
更能连骑出 江上满山隈<eos><eos><eos> |Ref:还似洛桥时
彭泽初栽五树时 一枝相送一枝花<eos> |Ref:只应闲看一枝枝
移得萧骚从远寺 野鸟归时自相望<eos> |Ref:洗来疏净见前峰
开户只添搜句味 落花无限醉花鞭<eos> |Ref:看山还阻上楼情
蝉烦鸣转喝 山路动飞鸾<eos><eos><eos> |Ref:乌噪饥不啄
人生无几何 不知一一道<eos><eos><eos> |Ref:如寄天地间
先王设位 万物成明<eos><eos><eos><eos> |Ref:以正邦国
空山新雨后 山静晚蝉初<eos><eos><eos> |Ref:天气晚来秋
苍苍川上月 不见人间客<eos><eos><eos> |Ref:应照妾魂飞
闲征雅令穷经史 喜得题诗寄别君<eos> |Ref:醉听清吟胜管弦
低头不出气 万里无心光<eos><eos><eos> |Ref:塞默少精神
闲云恋岩壑 不见问尘埃<eos><eos><eos> |Ref:起灭苍翠中
争奈病夫难强饮 不妨相伴醉吟来<eos> |Ref:应须速自召车公
肮脏不能就珪组 文章时逐落云泥<eos> |Ref:至今空扬高蹈名
野船著岸入春草 夜夜看云人上楼<eos> |Ref:水鸟带波飞夕阳
共来江海上 不见此中心<eos><eos><eos> |Ref:清论一宵同
山居衣以草 风吹动长心<eos><eos><eos> |Ref:生寄药随身
端居有地唯栽药 不道高斋不得书<eos> |Ref:静坐无时不忆山
簇簇淮阴市 春风满钓舟<eos><eos><eos> |Ref:竹楼缘岸上
清歌早贯骊龙颔 乞药高将凤凰翔<eos> |Ref:丹桂曾攀玉兔宫
客行殊未已 不得不相逢<eos><eos><eos> |Ref:沐澡期终吉
过溪遭恶雨 不必辨诸公<eos><eos><eos> |Ref:乞食得干菱
终朝采药供仙厨 不知云后成一宅<eos> |Ref:却笑桃花少颜色
南识桓公台 不得渔家书<eos><eos><eos> |Ref:北望先贤墓
多情怀酒伴 不觉醉醺醺<eos><eos><eos> |Ref:馀事作诗人
弹琴合天和 不知天地有<eos><eos><eos> |Ref:读易见象初
山无俗路藏高士 不是将军作汉名<eos> |Ref:岸泊仙舟忆主人
夜阑乘马归 一行在江海<eos><eos><eos> |Ref:衣上草露光
美酒尊中置千斛 青山愁杀一双头<eos> |Ref:载妓随波任去留
师言结夏入巴峰 岂知屈指衔子门<eos> |Ref:云水回头几万重
高兴每论诗 不能无所愧<eos><eos><eos> |Ref:非才独见推
幽居得相近 不是此中期<eos><eos><eos> |Ref:烟景每寥寥
腻如玉指涂朱粉 才似黄金垂白红<eos> |Ref:光似金刀剪紫霞
本为成王业 天涯降祸机<eos><eos><eos> |Ref:初由赋上林
依栖常接迹 不复是人家<eos><eos><eos> |Ref:属和旧盈编
每因暂出犹思伴 不忍知时有主人<eos> |Ref:岂得安居不择邻
瞻望阳台云 不见此地好<eos><eos><eos> |Ref:惆怅不敢前
坐见司空扫西第 醉将歌舞入香炉<eos> |Ref:看君侍从落花朝
卫磬琤鍧极 何必白不为<eos><eos><eos> |Ref:齐竽僭滥偏
妙略多推霍骠骑 不知无事俗于无<eos> |Ref:能文独见沈尚书
高楼贺监昔曾登 不觉空疑一世情<eos> |Ref:壁上笔踪龙虎腾
上马终回首 春风不可怜<eos><eos><eos> |Ref:傍人怪感吁
雄雄许昌师 不得论人说<eos><eos><eos> |Ref:忠武冠其族
野禽喧戍鼓 风雨隔山盘<eos><eos><eos> |Ref:春草变征衣
昨日诏书下 不得不相亲<eos><eos><eos> |Ref:求贤访陆沉
元和五年冬 不得一一斛<eos><eos><eos> |Ref:房公尹东京
贾生年最少 不觉不知春<eos><eos><eos> |Ref:儒行汉庭闻
名与身孰亲 不知无忧患<eos><eos><eos> |Ref:君子宜固思
晨霞出没弄丹阙 秋雨生根作仙宫<eos> |Ref:春雨依微自甘泉
峻阻将长城 不得为我为<eos><eos><eos> |Ref:高标吞巨舫
此景正寥落 一夜不堪闻<eos><eos><eos> |Ref:为君玄发衰
紫气已随仙仗去 寒天不见月光中<eos> |Ref:白云空向帝乡消
寺阁边官舍 山川北马行<eos><eos><eos> |Ref:行吟过几层
之子夫君郑与裴 我将此夫为其先<eos> |Ref:何甥谢舅当世才
此僧本住南天竺 不得中门见客飞<eos> |Ref:为法头陀来此国
虽欲少留此 不知无所从<eos><eos><eos> |Ref:其如归限催
敢望来客口 山下见人间<eos><eos><eos> |Ref:道似主人心
地首地肺何曾拟 相见天涯何处寻<eos> |Ref:天目天台倍觉惭
杯尝七尹酒 不知何所为<eos><eos><eos> |Ref:树看十年花
无事焚香坐 无因得是真<eos><eos><eos> |Ref:有时寻竹行
惟应错认偷桃客 直入金炉落露珠<eos> |Ref:曼倩曾为汉侍郎
故乡万里绝 不见一行迟<eos><eos><eos> |Ref:穷愁百虑侵
蜉蝣时蔽月 山色不闻寒<eos><eos><eos> |Ref:枳棘复伤衣
欲出鸿都门 山河满城郭<eos><eos><eos> |Ref:阴云蔽城阙
便可傲松乔 不得天和泉<eos><eos><eos> |Ref:何假杯中渌
万里杨柳色 不见鹧鸪啼<eos><eos><eos> |Ref:出关随故人
南风苟不竞 不敢力不完<eos><eos><eos> |Ref:无往遗之擒
必使千年后 何人不见天<eos><eos><eos> |Ref:长书竹帛名
西陵水阔鱼难到 北国朝朝宴更迟<eos> |Ref:南回路遥书未回
难见囊中术 何由日与真<eos><eos><eos> |Ref:人间有岁华
点缀 不歇<eos><eos><eos><eos><eos><eos> |Ref:分葩
庄生晓梦迷蝴蝶 任意风人为玉丝<eos> |Ref:望帝春心托杜鹃
强来前殿看歌舞 不觉长心不得来<eos> |Ref:共待单于夜猎归
我有吴越曲 何处鹧鸪啼<eos><eos><eos> |Ref:无人知此音
赤县阳和布 无人岁月长<eos><eos><eos> |Ref:苍生雨露膏
寺高猿看讲 闲寻松看看<eos><eos><eos> |Ref:钟动鸟知斋
功夫两衙尽 一声千里愁<eos><eos><eos> |Ref:留滞七年馀
炀帝雷塘土 风流石石棱<eos><eos><eos> |Ref:迷藏有旧楼
暧然青轩暮 风吹白发生<eos><eos><eos> |Ref:浩思非所任
贝叶教丹觜 金钱不似青<eos><eos><eos> |Ref:金刀寄赤鳞
檐前依旧青山色 江上渔家一叶时<eos> |Ref:尽日无人独上楼
他日传消息 山空不可知<eos><eos><eos> |Ref:东西不易寻
赖有歌梁合 风风锦水悬<eos><eos><eos> |Ref:尘飞一半来
为郡三星无一事 不知今日更谁论<eos> |Ref:龚黄意外扳乔松
宝车辗驻彩云开 玉箸闲来拂碧重<eos> |Ref:误到蓬莱顶上来
师步有云随 何人不相识<eos><eos><eos> |Ref:师情唯鹤知
美人竭肝胆 不得不如沙<eos><eos><eos> |Ref:思照冰玉色
已闻旰食思真将 不得心谋信有师<eos> |Ref:会待畋游致假王
梁苑城西二十里 金陵画盖落仙舟<eos> |Ref:一渠春水柳千条
疾愈蝉声老 风寒雨露深<eos><eos><eos> |Ref:年丰雨滴频
后时谁肯顾 不敢泪如泥<eos><eos><eos> |Ref:唯我与君怜
除却征南为上将 人间此去到王州<eos> |Ref:平徐功业更谁高
畏人颜惨澹 不见草萋萋<eos><eos><eos> |Ref:疏物势迍邅
夜禅山雪下 月照月明中<eos><eos><eos> |Ref:朝汲竹门开
日高房里学围棋 乞酒开眠似酒眠<eos> |Ref:等候官家未出时
南徐报政入文昌 万里分明幸宴贤<eos> |Ref:东郡须才别建章
果是台中旧 何人道上中<eos><eos><eos> |Ref:依然水上逢
瞻望神座 礼乐既陈<eos><eos><eos><eos> |Ref:祗恋匪遑
蒐于岐阳骋雄俊 轩往往往惊凤凰<eos> |Ref:万里禽兽皆遮罗
浮生竟何穷 何人得一生<eos><eos><eos> |Ref:巧历不能算
苞茅酒缩 其如其人<eos><eos><eos><eos> |Ref:膋萧香彻
两绶对悬云梦日 一行相伴绕溪心<eos> |Ref:方舟齐泛洞庭春
虚村暮角催残日 楚海风吹入早风<eos> |Ref:近寺归僧寄野泉
宛然为客振衣起 一半金刀满时死<eos> |Ref:自傍芳丛摘鹰觜
珍重加餐省思虑 春风空寂有书经<eos> |Ref:时时斟酒压山岚
一日离君侧 清闲见道间<eos><eos><eos> |Ref:千官送渭滨
剃发得时名 不得不可得<eos><eos><eos> |Ref:僧应别应星
一分酒户添犹得 不得教人为我归<eos> |Ref:五字诗名隐即难
上药终相待 无因不得寻<eos><eos><eos> |Ref:他年访伏龟
轩窗交紫霭 万壑动清泚<eos><eos><eos> |Ref:檐户对苍岑
燕静衔泥起 风光落月长<eos><eos><eos> |Ref:蜂喧抱蕊回
锷上芙蓉动 花开翡翠开<eos><eos><eos> |Ref:匣中霜雪明
田家宜伏腊 万里奉王王<eos><eos><eos> |Ref:岁晏子言归
家园不远乘露摘 时水夜深吟宿牖<eos> |Ref:归时露彩犹滴沥
此诚习战非为剧 不用文章作天子<eos> |Ref:岂若安坐行良图
主人闻语未开门 不见金澜上山起<eos> |Ref:绕篱野菜飞黄蝶
郢唱一声发 风吹一声吹<eos><eos><eos> |Ref:吴花千片春
受气何曾异 无人不可知<eos><eos><eos> |Ref:开花独自迟
都忘醉后逢廉度 闲听朝来日半长<eos> |Ref:不省归时见鲁恭
碍有固为主 何必无名出<eos><eos><eos> |Ref:趣空宁舍宾
应得烟霞出俗心 一生何必满青霄<eos> |Ref:茅山道士共追寻
两床陈管磬 山火动寒泉<eos><eos><eos> |Ref:九奏殊未阑
白首寓居谁借问 一枝高枕不能知<eos> |Ref:平地寸步扃云岩
每岁同辛苦 何人是此生<eos><eos><eos> |Ref:看人似有情
倦眠身似火 不得世间春<eos><eos><eos> |Ref:渴歠汗如珠
谁谓天路遐 不复天生红<eos><eos><eos> |Ref:感通自无阻
水行儋耳国 一一在天涯<eos><eos><eos> |Ref:陆行雕题薮
一旦鬼瞰室 飞箭尾成沙<eos><eos><eos> |Ref:稠叠张羉罿
雨来莼菜流船滑 来伴松松雪影寒<eos> |Ref:春后鲈鱼坠钓肥
逢石自应坐 一声无所思<eos><eos><eos> |Ref:有花谁共看
昔从九春徂 万树千秋积<eos><eos><eos> |Ref:方此三秋遇
敬文今不在 何处是吾家<eos><eos><eos> |Ref:碎石入流沙
朝回游不厌 不得问归山<eos><eos><eos> |Ref:僧到赏难忘
下第春愁甚 春寒春照多<eos><eos><eos> |Ref:劳君远见招
鹤绫三尺晓霞浓 白首高低弄玉钩<eos> |Ref:送与东家二八容
忽闻暂寄河之北 不得看时听南东<eos> |Ref:兵强四面无尘埃
遥分丹阙出 月照玉池遥<eos><eos><eos> |Ref:迥对上林宜
雉飞鹿过芳草远 雁过荆门秋半秋<eos> |Ref:牛巷鸡埘春日斜
头风春饮苦 不觉不知还<eos><eos><eos> |Ref:眼晕夜书多
饥啄空城土 何人不可寻<eos><eos><eos> |Ref:莫近太仓粟
一秋常苦雨 不得不知君<eos><eos><eos> |Ref:今日始无云
何意天乐中 不知世间白<eos><eos><eos> |Ref:至今奏胡曲
胎化呈仙质 金莲动瑞珠<eos><eos><eos> |Ref:长鸣在九皋
一宫花渚漾涟漪 水水风心似不通<eos> |Ref:俀堕鸦鬟出茧眉
欲凭将一札 何必问沧洲<eos><eos><eos> |Ref:寄与沃洲人
平尽不平处 不见一相思<eos><eos><eos> |Ref:尚嫌功未深
铁骑照白日 万里生青云<eos><eos><eos> |Ref:旄头拂秋旻
伯夔曾抚野兽驯 一生清浅接平原<eos> |Ref:仲尼暂叩春雷盛
