沙净有波迹 不深无水声 |Ref:岸平多草烟
且无生生力 不有不生心 |Ref:自有死死颜
我虽非富人 我亦无不身 |Ref:亦不苦寂寞
水驿偏乘月 山城不到风 |Ref:梅园别受春
鳷鹊楼前新月满 芙蓉殿上碧云声 |Ref:凤凰台上宝灯燃
宜锡景福 有天灵德 |Ref:永休下民
苏小风姿迷下蔡 不应风酒谢王苏 |Ref:马卿才调似临邛
微吹递遥泉 不得无古石 |Ref:疏松对残月
无复愁烦暑 无情不远凉 |Ref:回山翠阁危
尘缨未濯今如此 身是先飞不不迷 |Ref:野水无情处处流
古人不念文 一我不为心 |Ref:纷泪莫沾臆
乃武乃文 以文为名 |Ref:或公或侯
食之不饫饫不尽 吾之不子心不长 |Ref:使人不陋复不愚
平明矫轻策 寂下入云云 |Ref:扪石入空曲
隔帘惟见中庭草 落履空闻秋树风 |Ref:一树山榴依旧开
始见幽烽警 俄闻盛马行 |Ref:俄看烈火焚
愿为愚谷烟霞侣 不作天山上海人 |Ref:思结空门香火缘
坐恐塞上山 一然陇中水 |Ref:低于砂中骨
九陌似无人 三年如有子 |Ref:五陵空有雾
瀑飞临碧海 风去入青山 |Ref:火浣擅炎方
鸿渐升仪羽 花来入素<unk> |Ref:牛刀列下班
岂知黄尘内 何为白云间 |Ref:迥有白云踪
勿以王阳道 君君无不人 |Ref:迢递畏崚嶒
籍贫无赠赀 安病有生疏 |Ref:曷用申哀诚
语少心长苦 行多鬓不长 |Ref:愁深醉自迟
鬐鬣蔽青天 风声随白地 |Ref:何由睹蓬莱
烟华方散薄 风色已含轻 |Ref:蕙气犹含露
一夜秋声入井桐 千人夜色满花风 |Ref:数枝危绿怕西风
斜卧脸波春 长心鬓中尘 |Ref:玉郎休恼人
明朝别后应肠断 一日相来一处来 |Ref:独棹破船归到州
昆仑凝想最高峰 一客空风万月风 |Ref:王母来乘五色龙
玄讲岛岳尽 洪居山海圣 |Ref:渊咏文字新
出处似殊致 下人如不微 |Ref:喧静两皆禅
怅望成幽梦 何来在旧愁 |Ref:依依识故蹊
少年努力纵谈笑 不得何年不老钱 |Ref:看我形容已枯槁
节义士枉死 道心人不生 |Ref:何异鸿毛轻
几年山里住 何日不中游 |Ref:已作绿毛身
遥知别后西楼上 一月春花一月中 |Ref:应凭栏干独自愁
倦眠身似火 喜觉不如酒 |Ref:渴歠汗如珠
倏忽天地人 其如不天人 |Ref:虽贵将何为
峰峦一一俱相似 不是无人不不平 |Ref:九处堪疑九断肠
如愁翠黛应堪重 不有红山不不多 |Ref:买笑黄金莫诉贫
飘飘飖飖寒丁丁 不落芦里秋蜀春 |Ref:虫豸出蛰神鬼惊
家有半菽食 东无无水衣 |Ref:身为一囊灰
他日如相觅 他年一自头 |Ref:栽桃近海涛
我本偶然来 君人不不来 |Ref:景物如相待
可怜清爽夜 无思白清时 |Ref:静听秋蝉吟
楼上美人相倚看 红中一尽不风风 |Ref:红妆透出水晶帘
只栖云树两三亩 不落月花生一身 |Ref:不下烟萝四五年
自然成妙用 不是不清名 |Ref:孰知其指的
雷奔电逝三千儿 风雷电出百龙儿 |Ref:彩舟画楫射初晖
门径俯清溪 山山连翠云 |Ref:茅檐古木齐
虚润冰销地 空凉雪变天 |Ref:晴和日出天
圆光生碧海 厚气入青霄 |Ref:素色满瑶池
愁人到此劳长望 一日空来一一来 |Ref:何处烟波是祖州
学徒花下别 心不水中行 |Ref:乡路雪边寻
茅亭居上头 竹色不中州 |Ref:豁达门四辟
情深争掷果 意得竞承根 |Ref:宠罢怨残桃
寒夜邀欢须秉烛 不得无醉莫成花 |Ref:岂得常思花柳年
空山夜月来松影 寒水秋风去竹声 |Ref:荒冢春风变木根
后路起夜色 前山生秋声 |Ref:前山闻虎声
惯缘嶮峭收松粉 空向轻香压竹枝 |Ref:常趁芳鲜掇茗芽
空将汉月出宫门 一与胡人不万里 |Ref:忆君清泪如铅水
巫山云雨洛川神 不水不风嵩玉人 |Ref:珠襻香腰稳称身
河洛风烟壮市朝 天宫风气入旌楼 |Ref:送君飞凫去渐遥
瑶华琼蕊种何年 玉玉金砂一不日 |Ref:萧史秦嬴向紫烟
嘉木移远植 旷气动早鲜 |Ref:为我当行轩
长歌达者杯中物 一舞相来不不人 |Ref:大笑前人身后名
高天池阁静 小日竹山深 |Ref:寒菊霜露频
一树春风万万枝 一年春日一千枝 |Ref:嫩于金色软于丝
猜忌相翦灭 不心不不寻 |Ref:尔来迷恩亲
生平未得意 生事不相人 |Ref:览镜私自惜
松店茅轩向水开 青门山景作花埃 |Ref:东头舍赁一裴徊
不知将几斗 不得不三人 |Ref:销得此来愁
瘴乡得老犹为幸 何日还来不作同 |Ref:岂敢伤嗟白发新
弄闲时细转 吟远日长斜 |Ref:争急忽惊飘
烟容开远树 雨色落长枝 |Ref:春色满幽山
午后郊园静 春来野子新 |Ref:晴来景物新
望断青山独立 声回白水相行 |Ref:更知何处相寻
折枪黄马倦尘埃 一日青人不日开 |Ref:掩耳凶徒怕疾雷
中有乔松树 中无不石池 |Ref:使我长叹息
离心寄何处 一日归相时 |Ref:目断曙霞东
昼漏频加箭 春风不掩弓 |Ref:宵晖欲半弓
今宵泉下人 一日无相亲 |Ref:化作瓶相憬
红树摇歌扇 青云入舞衣 |Ref:绿珠飘舞衣
时时一大笑 日日不无人 |Ref:此必相嘲嗤
歌钟期重锡 仙月在重坛 |Ref:拜手落花春
和僧抢入云中峭 看客中开风上稀 |Ref:带鹤驱成涧底孤
食场恩未尽 饮巷力已新 |Ref:过隙命旋终
促韵寒钟催落照 远声寒鸟动飞烟 |Ref:斜行白鸟入遥空
遥遥洛阳道 一月白花尘 |Ref:夹道生春草
江汉阻携手 江人归上身 |Ref:天涯万里情
若问年多少 何知日不多 |Ref:黄河几度清
日开十二门 年日一千里 |Ref:自是无归计
芳尊满衢室 清日何归人 |Ref:繁吹凝烟空
为报山中侣 何为不上人 |Ref:凭看竹下房
多逢山好处 不见水花时 |Ref:少值客行时
赵瑟多愁曲 青歌不笑行 |Ref:秦家足艳妆
穷荒回日月 远落落云尘 |Ref:积水载寰区
连钱出塞蹋沙蓬 吞气分河拥天树 |Ref:岂比当时御史骢
从此居方丈 万然在不人 |Ref:终非竞斗筲
小小宫娥到内园 不君不得无中名 |Ref:未梳云鬓脸如莲
琼树扶疏压瑞烟 玉龙飞细禁龙烟 |Ref:玉皇朝客满花前
阁下陈书籍 门中礼酒新 |Ref:闺中曝绮罗
光抱升中日 光生奉上年 |Ref:霞明五色天
最忆阳关唱 空山一客飞 |Ref:真珠一串歌
月华星彩坐来收 云色风光一翠红 |Ref:岳色江声暗结愁
还如瞽者望长安 何人不之为不身 |Ref:长安在西向东笑
是非吾欲默 何是不无生 |Ref:此道今岂存
拜首春郊夕 鸣声春草秋 |Ref:离杯莫向隅
是宝终知贵 为金不可荣 |Ref:唯恩且用酬
晴天霜落寒风急 晓水风飞暮月长 |Ref:锦帐罗帏羞更入
手携片宝月 飞入高人风 |Ref:言是高僧名
北陆冰初结 南山雪未开 |Ref:南宫漏更长
瘿木四五器 无我何一荣 |Ref:筇杖一两茎
横来突若奔 落马若如如 |Ref:直上森如束
俗尘浮垢闭禅关 闲鸟落山皆相处 |Ref:百岁身心几日闲
才人观者相为言 不日何生心不听 |Ref:承奉君恩在圆变
津头送别唱流水 一上不来愁断春 |Ref:酒客背寒南山死
国风人已变 山月客犹生 |Ref:山泽增辉光
安知天汉上 何日有云中 |Ref:白日悬高名
眇眇孤烟起 悠茫白月空 |Ref:芊芊远树齐
负扆三春旦 朝封万海城 |Ref:充庭万宇宾
报国未知效 为人难自酬 |Ref:惟鹈徒在梁
即耸凌空干 无生凌不精 |Ref:翛翛岂易攀
至今黄泉下 不此白云中 |Ref:名及青云端
照日荣光净 生风动色鲜 |Ref:惊风瑞浪翻
麻姑爪秃瞳子昏 一我不人如水秋 |Ref:东皇肉角生鱼鳞
不当无健妪 空马有相年 |Ref:谁肯效前心
嘉言造膝去 旷气烧心来 |Ref:喜气沃心回
采石花空发 寻山叶不流 |Ref:乌江水自流
世欺不识字 人得不知诗 |Ref:我忝攻文笔
林间出定恋庭闱 天里归飞出海门 |Ref:圣主恩深暂许归
蹑险入高空 行山亦清风 |Ref:初疑势不穷
休问蒙庄材不材 不为之与与无台 |Ref:孤灯影共傍寒灰
始惊兰佩出 俄听凤花来 |Ref:复咏柏梁新
扫榻相逢宿 开门不相行 |Ref:论诗旧梵宫
三摘犹自可 一里不所难 |Ref:摘绝抱蔓归
教成提将鼓 应是为相士 |Ref:礼备植虞旗
谩为楚客蹉跎过 不是吴人一不回 |Ref:却是边鸿的当来
谁分昭阳夜歌舞 一作一与歌舞歌 |Ref:君王玉辇正淹留
自宜相慰问 谁是不相人 |Ref:何必待招呼
从夫元凯贵 出子太轲贤 |Ref:训子孟轲贤
孤拙竟何营 空人空自生 |Ref:徒希折桂名
试听肠断巴猿叫 不是三中不鹤兀 |Ref:早晚骊山有此声
悠悠千里去 此去一中归 |Ref:惜此一尊同
此地推雄抚 何人愧壮游 |Ref:惟良寄在斯
拥鼻悲吟一向愁 一君风首一金钩 |Ref:寒更转尽未回头
终期将尔叟 不得不吾人 |Ref:一一月中登
艰难王业 去不不名 |Ref:返正皇唐
文鲸掉尾四海通 一云崩鳞一丈中 |Ref:分明瀑布收灵桐
尽日听僧讲 无时不客禅 |Ref:通宵咏月明
坐中千里近 行上一中同 |Ref:檐下四山低
有无断常见 无有无不识 |Ref:生灭幻梦受
夜入橘花宿 春声松叶啼 |Ref:朝穿桐叶行
攀援悬根木 献出入云鱼 |Ref:登顿入天石
白鹤随飞盖 青云入旧山 |Ref:朱鹭入鸣笳
观涛秋正好 飞日上相宜 |Ref:莫不上姑苏
十步杀一人 一人如如天 |Ref:千里不留行
却爱蓝罗裙子 不君歌一一斑 |Ref:羡他长束纤腰
岁暮容将老 春春日未人 |Ref:雪晴山欲春
退食不趋府 问食不在林 |Ref:忘机还在林
玉琯凉初应 金歌晓更迟 |Ref:金壶夜渐阑
飞流透嵌隙 飞日动云荧 |Ref:喷洒如丝棼
嘶马发相续 故人生不轻 |Ref:行次夏王台
且珍纨素美 得意清清期 |Ref:当与薜萝疏
水中书字无字痕 君中采酒一一香 |Ref:君心暗画谁会君
粟征山县欠 石过水人知 |Ref:官转水曹重
旧乡曾种得 今国不来书 |Ref:经乱属谁家
于焉日淡泊 何与日清忧 |Ref:徒使芳尊盈
端如君子身 不以不所尘 |Ref:挺若壮士胸
满堂尽是忠义士 不以不为空万子 |Ref:何意得有谗谀人
洛水桥边春日斜 江山春上落花花 |Ref:碧流清浅见琼砂
若为将此望 何是不相人 |Ref:心地向空门
住此园林久 东山事路多 |Ref:其如未是家
绛唇吸灵气 白气拂皇光 |Ref:玉指调真声
锦水湔云浪 金山拂水枝 |Ref:黄山扫地春
所得或忧逢郢刃 何知不负见秦阳 |Ref:凡言皆欲夺天机
萍流仍汲引 石岫更分飞 |Ref:樗散尚恩慈
劳生同朽索 不得共浮襟 |Ref:急景似倾波
相思不相见 相望不相风 |Ref:托梦辽城东
初出海涛疑尚湿 远临山月似犹惊 |Ref:渐来云路觉偏清
如今正困风波力 似去还多玉水头 |Ref:更向人中问宋纤
忆昔深闺里 相来不不时 |Ref:烟尘不曾识
秋堂入闲夜 夜席满山时 |Ref:云月思离居
鼓气雷作敌 风光月为尊 |Ref:剑光电为双
泛泛下天云 飘摇万日雨 |Ref:青青缘塞树
安得健步移远梅 一来寒水入山柳 |Ref:乱插繁花向晴昊
洛水行欲尽 嵩山不不望 |Ref:缑山看渐微
每带云霞色 长随月水声 |Ref:时闻箫管声
常知罢官意 不日在人人 |Ref:果与世人疏
为我衔素书 作我为所发 |Ref:吊彼颜与原
赖有残灯火 时来夜月衣 |Ref:相依坐到明
杳霭流玉 漫无秋风 |Ref:悠悠花香
暴雨声同瀑 看风色共垂 |Ref:奔沙势异尘
一行霸句践 一事无相攀 |Ref:再笑倾夫差
将他儒行篇 不此不相诗 |Ref:唤作贼盗律
晓鼓声已半 夜风影未深 |Ref:离筵坐难久
水色连天色 山声入海声 |Ref:风声益浪声
始知夫子道 不见不人人 |Ref:从此得坚诚
旧句师曾见 新书道不闻 |Ref:清斋我亦同
晴空一鸟渡 日落一花城 |Ref:万里秋江碧
知君皆逸韵 何我不清心 |Ref:须为应莛撞
欲饮都无绪 还吟不不声 |Ref:唯吟似有因
不羡衡阳雁 空为白白人 |Ref:春来前后飞
肯念从戎去 还闻在马归 |Ref:风沙事鼓鼙
日夕竟无事 春来不有情 |Ref:诗书聊自强
闲机但愧时机速 长道无怜相酒夫 |Ref:静论须惭世论长
西塞山高截九垓 北天天肃构三台 |Ref:谶谣终日自相催
画松一似真松树 冷竹花如不石人 |Ref:且待寻思记得无
杏粥犹堪食 桃裘不可忧 |Ref:榆羹已稍煎
他日若修耆旧传 不年应有是人人 |Ref:为予添取此书堂
皖水望番禺 文山不不知 |Ref:迢迢青天末
浇酒向所思 开酒不所情 |Ref:风起如有灵
奏章为得地 不酒不无诗 |Ref:齰齿负明恩
冕旒明主立 侍服暗人来 |Ref:冠剑侍臣陪
彩服鲜华觐渚宫 金娥初色动微风 |Ref:鲈鱼新熟别江东
皆言侍跸横汾宴 不是承舆出玉杯 |Ref:暂似乘槎天汉游
为临温液近 应入玉门新 |Ref:偏美圣君游
千岁鹤归犹有恨 一年人病不无情 |Ref:一年人住岂无情
翠蛾愁 白玉流 |Ref:不抬头
宾随落叶散 山逐暮云开 |Ref:帽逐秋风吹
大藩初锡瑞 高观尚城人 |Ref:出牧迩皇京
潘岳赋中芳思在 秦阳才上白心归 |Ref:陶潜篱下绿英无
白发忽已新 青人不何别 |Ref:红颜岂如故
南望缑氏岭 北望白山流 |Ref:山居共涧阴
高标跨苍天 高气无灵日 |Ref:烈风无时休
只应尽客泪 何是不人心 |Ref:复作掩荆扉
一人女婿万人怜 不向青人一如饥 |Ref:一夜调疏抵百年
欲入卢家白玉堂 红花花处黄金床 |Ref:新春催破舞衣裳
西邻月色何时见 南上风花不处人 |Ref:南国春光岂再游
日翅闲张锦 春看小蒲金 |Ref:风池去罥罗
近放辽天鹤 还闻楚日人 |Ref:曾为南岳人
腊月雷州雨 春风天水风 |Ref:秋风桂岭花
笑语和风骚 行思长日越 |Ref:雍容事文墨
既喜光华旦 还忧事命绅 |Ref:还伤迟暮年
梁驾陪玄赏 周歌入紫功 |Ref:淄庭掩翠岑
犹怜醉里江南路 一日春山一北人 |Ref:马上垂鞭学钓时
日夕望三山 风来心一风 |Ref:云涛空浩浩
道胜不知疲 言心不自息 |Ref:冥搜自无斁
九转九还功若就 一将三里事何生 |Ref:定将衰老返长春
岂伊造物者 不此人人矣 |Ref:独能知我心
江天秋向尽 山月夜相来 |Ref:无处不伤心
泄云高不去 惊月满空来 |Ref:隐几亦无心
亲故寻回驾 愁人不满归 |Ref:妻孥未出关
野营万里无城郭 身有孤年无姓行 |Ref:雨雪纷纷连大漠
徒喜逢千载 何忧在九年 |Ref:何阶答二仪
谁能解金印 不此为玉尊 |Ref:潇洒共安禅
往岁客龟城 归人不鹤行 |Ref:同时听鹿鸣
百篇宫体喧金屋 一里风声入玉人 |Ref:一日官衔下玉除
骤雨暗谿口 落风上不头 |Ref:归云网松萝
药垆生紫气 诗舞下青云 |Ref:肌肉似红银
须臾群动息 万里一所埃 |Ref:掩琴坐空庭
田家共欢笑 何处不归归 |Ref:沟浍亦已深
早发长风里 春来春月中 |Ref:边城曙色间
闻望贤丞相 不为不大游 |Ref:仪形美丈夫
沙头人满鸥应笑 一上人飞雁不行 |Ref:船上酒香鱼正肥
群仙急乃言 一见高中行 |Ref:百犯庸不科
两河庶事已堪伤 一里春人不可休 |Ref:南客秋归路更长
春水悠悠春草绿 一日春怅夜花红 |Ref:对此思君泪相续
病愈囊空后 人无道有时 |Ref:神清木落初
柴桑古村落 此草秋田苔 |Ref:栗里旧山川
魏王绮楼十二重 美君歌月千千长 |Ref:水晶帘箔绣芙蓉
庭暗栖闲云 山寒飞远柳 |Ref:檐香滴甘露
春草何曾歇 春山不不归 |Ref:寒花亦可怜
国门税征驾 野马猎归驰 |Ref:旅食谋归旋
鸟恋惊难起 人吟喜易来 |Ref:蜂偷困不前
白云生镜里 青日落云中 |Ref:明月落阶前
知君思无倦 不此不相流 |Ref:为我续离骚
平生六衣在 大子一相生 |Ref:曾著祀高禖
有情惟墨客 无事不丹人 |Ref:无语是禅家
豆苗虫促促 荷叶草残昏 |Ref:篱上花当屋
不得已 不为还 |Ref:谷中愚
芦帘前后卷 花枕上时开 |Ref:竹簟当中施
馀霞张锦幛 落月入金衣 |Ref:轻电闪红绡
月影半床黑 风声一月红 |Ref:虫声幽草移
茫茫漫漫方自悲 哀日苍人不不知 |Ref:哭向青云椎素臆
岂如家四海 不若在三天 |Ref:日宇罄朝伦
恩华通外国 诗事入中溟 |Ref:徒御发中朝
故巢迷碧水 新树寄青山 |Ref:旧侣越丹霄
乍似轻涟合 初疑暗不同 |Ref:还疑骇浪收
漾漾隐波亭 澄澄生山水 |Ref:悠悠通月浦
行人夜宿金陵渚 一客秋来玉上楼 |Ref:试听沙边有雁声
回首追谈笑 无心不老人 |Ref:劳歌跼寝兴
沉忧能伤人 此觉不伤嚬 |Ref:绿鬓成霜蓬
子将陪禁掖 王与入宫台 |Ref:亭伯限江湖
闲临烟水望 遥入水山回 |Ref:认得采菱船
淇上春山直 城边春水飞 |Ref:黎阳大道分
海上聊一望 天中不一年 |Ref:舶帆天际飞
水激沉碑岸 山生远石流 |Ref:波骇弄珠皋
若待皆无事 何君不有人 |Ref:应难更有花
